rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,1,1,10,Luan Santana
2,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,3,23,Hugo & Guilherme
3,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,2,12,Gusttavo Lima
4,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,4,4,7,Jorge & Mateus
5,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,3,5,13,Matheus Fernandes
6,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,6,6,10,Hugo & Guilherme
7,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,4,7,12,Felipe Amorim
8,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,3,8,28,Jorge & Mateus
9,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),9,15,3,Gusttavo Lima
10,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,10,11,5,Henrique & Juliano
11,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,11,12,19,Guilherme & Benuto
12,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,10,9,MC Rogerinho
13,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,2,14,20,Luan Santana
14,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,13,13,5,Mc Don Juan
15,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,5,16,14,Davi Kneip
16,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,9,6,Jovem Dionisio
17,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,15,17,14,Matheus & Kauan
18,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,14,22,6,João Gomes
19,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,5,20,21,Zé Neto & Cristiano
20,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,18,36,Henrique & Juliano
21,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,19,35,George Henrique & Rodrigo
22,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,22,35,13,João Bosco e Gabriel
23,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,23,25,4,Israel & Rodolffo
24,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,23,23,12,Paulo e Nathan
25,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,21,19,PEDRO SAMPAIO
26,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,23,27,9,MC Braz
27,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,24,30,Gusttavo Lima
