rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,1,1,9,Hugo & Guilherme
2,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,3,5,PEDRO SAMPAIO
3,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,2,7,Zé Felipe
4,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,4,16,Gusttavo Lima
5,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,5,5,6,Luan Santana
6,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,4,6,14,Jorge & Mateus
7,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,8,21,George Henrique & Rodrigo
8,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,4,7,12,Xamã
9,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,11,22,Marília Mendonça
10,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,8,10,5,MC Rogerinho
11,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,8,9,8,Dj Guuga
12,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,12,21,Henrique & Juliano
13,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,13,22,Henrique & Juliano
14,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,11,15,14,Matheus & Kauan
15,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,11,14,9,Chefin
16,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,20,22,Henrique & Juliano
17,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,16,16,9,Simone & Simaria
18,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,18,23,7,Zé Neto & Cristiano
19,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,21,19,Marília Mendonça
20,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,4,17,18,Zé Felipe
21,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,9,19,18,Mari Fernandez
22,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),22,22,7,MC Teteu
23,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,16,18,15,Wesley Safadão
24,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,24,30,5,Gloria Groove
25,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,13,26,22,Tayrone
26,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,25,21,Paulo Pires
27,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,3,28,22,Gusttavo Lima
28,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,22,24,9,Mc Don Juan
29,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,6,27,22,PEDRO SAMPAIO
30,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",30,44,3,Vulgo FK
31,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,21,38,22,Marília Mendonça
32,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,31,33,5,George Henrique & Rodrigo
33,spotify:track:2SDGleyRLDrYZeMsZEK3Vb,Dar uma Namorada - Ao Vivo,18,32,17,Israel & Rodolffo
34,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,15,34,22,Gusttavo Lima
35,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,36,22,Zé Neto & Cristiano
36,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,36,41,5,Luísa Sonza
37,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,15,31,14,DJ Matt D
38,spotify:track:4AOOcHnZdU6qyUVtKZUEuF,Amava Nada - Ao Vivo,34,40,6,Lucas Lucco
39,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,4,37,22,Marília Mendonça
40,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,29,29,5,LUDMILLA
41,spotify:track:6JIIejoN31NIn6BJsVS3cu,Oi Deus - Ao Vivo,20,42,20,Hugo & Guilherme
42,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,21,35,22,Clayton & Romário
43,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,39,22,Zé Felipe
44,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,42,43,5,Guilherme & Benuto
