rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,2,6,Gustavo Mioto
2,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,1,18,Guilherme & Benuto
3,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,3,10,Guilherme & Benuto
4,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,4,4,8,Diego & Victor Hugo
5,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,5,5,3,Gusttavo Lima
6,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,6,13,Jorge & Mateus
7,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,7,8,14,Mc Paiva ZS
8,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,9,41,Hugo & Guilherme
9,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,2,7,12,Hugo & Guilherme
10,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,10,11,12,Matheus & Kauan
11,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,1,10,25,Jorge & Mateus
12,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,12,12,12,Murilo Huff
13,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,13,34,2,Matheus & Kauan
14,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,6,13,28,Hugo & Guilherme
15,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,4,14,16,Gusttavo Lima
16,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,16,22,Ana Castela
17,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,14,15,22,Israel & Rodolffo
18,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,3,18,14,Marília Mendonça
19,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,9,19,32,Matheus & Kauan
20,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,3,17,11,Luan Santana
21,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,11,20,30,Paulo e Nathan
22,spotify:track:2orGm2E68ODFYOURjaES62,Felina,22,28,4,WIU
