rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,1,3,4,Luan Pereira
2,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,1,11,Ana Castela
3,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,2,8,MC Kevin o Chris
4,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,4,16,3,Gusttavo Lima
5,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,4,4,13,Zé Neto & Cristiano
6,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,3,5,10,Gusttavo Lima
7,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,7,8,27,Grupo Menos É Mais
8,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,8,21,12,Zé Neto & Cristiano
9,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,4,10,8,Felipe Amorim
10,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,7,33,AgroPlay
11,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,3,6,12,Luan Pereira
12,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,9,29,Israel & Rodolffo
13,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,11,34,Simone Mendes
14,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,15,32,Guilherme & Benuto
15,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,15,—,1,Dj GBR
16,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,12,12,19,Guilherme & Benuto
17,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,13,17,DENNIS
18,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,3,17,13,Mc Livinho
19,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,12,19,7,Felipe Amorim
20,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,8,18,15,Luan Santana
21,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),20,20,4,Ana Castela
22,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,23,33,Henrique & Juliano
23,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,15,22,15,Hugo & Guilherme
24,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,21,26,14,Diego & Victor Hugo
25,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",5,25,14,Mc Pedrinho
26,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,10,24,26,Zé Neto & Cristiano
27,spotify:track:0SWDToufOxRVIngk8c1oZi,AMBIENTE ERRADO - Ao Vivo,22,28,7,Luan Santana
28,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,24,27,10,Maiara & Maraisa
29,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,14,14,3,Luísa Sonza
30,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,26,33,8,Gusttavo Lima
31,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,10,30,14,Kadu Martins
32,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,30,35,18,Israel & Rodolffo
33,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,7,29,33,Matheus & Kauan
34,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,31,31,Zé Neto & Cristiano
35,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,24,32,10,Vulgo FK
