rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,10,AgroPlay
2,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,2,2,8,Zé Neto & Cristiano
3,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,3,13,Marília Mendonça
4,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,4,4,10,Henrique & Juliano
5,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,5,7,10,Matheus & Kauan
6,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,5,13,Israel & Rodolffo
7,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,7,15,2,Hugo & Guilherme
8,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,8,9,Guilherme & Benuto
9,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,8,9,11,Simone Mendes
10,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,10,13,6,Israel & Rodolffo
11,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,4,6,4,Zé Felipe
12,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,12,16,3,Henrique & Juliano
13,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,12,12,5,Clayton & Romário
14,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,9,10,6,Hugo & Guilherme
15,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,6,11,11,Gusttavo Lima
16,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,3,14,13,Gustavo Mioto
17,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,5,18,13,Maiara & Maraisa
18,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,10,23,12,Gustavo Mioto
19,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,13,17,9,MC Xenon
20,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,5,21,13,Matheus & Kauan
21,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,8,22,13,Ana Castela
22,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,18,20,5,MC Kevin o Chris
23,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,7,19,13,Israel & Rodolffo
