rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,1,7,Ana Castela
2,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),2,2,5,MC Kevin o Chris
3,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,2,3,8,Luan Pereira
4,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,4,10,4,Felipe Amorim
5,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,5,6,9,Zé Neto & Cristiano
6,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,4,5,6,Gusttavo Lima
7,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,4,30,Simone Mendes
8,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,7,25,Israel & Rodolffo
9,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,8,29,AgroPlay
10,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,10,13,15,Guilherme & Benuto
11,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,11,27,Zé Neto & Cristiano
12,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,9,13,DENNIS
13,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,4,12,9,Mc Livinho
14,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,11,14,11,Luan Santana
15,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,18,29,Henrique & Juliano
16,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,16,24,3,Felipe Amorim
17,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,15,28,Guilherme & Benuto
18,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,12,16,11,Kadu Martins
19,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,8,20,22,Zé Neto & Cristiano
20,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",7,17,10,Mc Pedrinho
21,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,16,19,23,Grupo Menos É Mais
22,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,5,21,29,Matheus & Kauan
23,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,23,23,4,Gusttavo Lima
24,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,16,26,11,Hugo & Guilherme
25,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,25,27,6,Vulgo FK
26,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,26,37,10,Diego & Victor Hugo
27,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,3,22,21,Hugo & Guilherme
28,spotify:track:2nfnhFDhwMet9yZodpGfn3,AMBIENTE ERRADO - Ao Vivo,28,38,3,Luan Santana
29,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,9,29,24,Clayton & Romário
30,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,28,32,14,Israel & Rodolffo
31,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,25,25,6,Maiara & Maraisa
32,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",10,28,9,Dyamante DJ
33,spotify:track:5qjwjBzWAxXjjqinjENzIF,Dói,33,39,3,Jorge & Mateus
34,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,31,37,Marília Mendonça
35,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,25,33,14,Murilo Huff
36,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",29,36,9,Melody
37,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,20,35,14,Veigh
38,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,10,30,31,Gustavo Mioto
39,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,34,42,Israel & Rodolffo
40,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,21,40,30,NATTAN
41,spotify:track:4vdFF0P7oTZoeKvnfIsbh3,Te Esqueci Sem Querer - Ao Vivo Em Brasília,23,43,18,Henrique & Juliano
42,spotify:track:64I2WXRrFWWxjRh8uTYYQB,Abre A Mente - Ao Vivo Em Brasília,42,46,11,Henrique & Juliano
43,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,43,44,8,Zé Neto & Cristiano
44,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,44,51,12,Eric Land
