rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,1,1,25,Zé Neto & Cristiano
2,spotify:track:2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,2,42,3,Lauana Prado
3,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,DEJA VU,3,10,2,Luan Santana
4,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,1,2,12,Manu
5,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,3,16,Gusttavo Lima
6,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,1,4,32,Guilherme & Benuto
7,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,4,5,14,Simone Mendes
8,spotify:track:1xjy8WRyYUkayJcyyWQpYe,Fronteira - Ao Vivo,8,8,5,Ana Castela
9,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,4,6,14,Dj GBR
10,spotify:track:6Td7nVeAOUz13zhDlUY8jv,CHEIRO NA CAMISETA,10,11,6,Luan Pereira
11,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,11,17,21,Henrique & Juliano
12,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,4,7,10,Tropa do Bruxo
13,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,3,14,47,Simone Mendes
14,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),12,12,17,Ana Castela
15,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,15,26,Zé Neto & Cristiano
16,spotify:track:3iam4WkRoqMoBBCwDFZNgd,Quase Algo - Ao Vivo Em Nova Iorque / 2022,10,13,14,Henrique & Juliano
17,spotify:track:7MLX5VV97CcXIpH2QUIy13,Pane no Sistema,8,9,9,GREGO
18,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,15,20,13,Israel & Rodolffo
