rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,11,Marília Mendonça
2,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,2,2,4,Leo Santana
3,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,3,13,Israel & Rodolffo
4,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,4,8,3,AgroPlay
5,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,4,4,3,Zé Felipe
6,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,5,3,Henrique & Juliano
7,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,7,9,4,Gusttavo Lima
8,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,6,13,Gustavo Mioto
9,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,5,7,10,Maiara & Maraisa
10,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,10,10,5,Gustavo Mioto
11,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,11,18,3,Matheus & Kauan
12,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,10,16,6,Naiara Azevedo
13,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,13,34,2,Guilherme & Benuto
14,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,3,11,13,Guilherme & Benuto
15,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,7,13,12,Israel & Rodolffo
16,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,8,12,9,Ana Castela
17,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,4,14,13,Matheus & Kauan
18,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,18,27,4,Simone Mendes
19,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,6,15,13,Guilherme & Benuto
20,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,6,19,13,Zé Felipe
21,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),16,30,13,Kadu Martins
22,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,9,21,13,Jorge & Mateus
23,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,7,22,13,Felipe e Rodrigo
25,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,6,23,13,Guilherme & Benuto
26,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,26,33,4,NATTAN
27,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,17,17,11,WIU
28,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,28,49,6,Matheus Fernandes
29,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,26,31,8,Anitta
30,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,12,20,7,DJ Jeeh FDC
31,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,31,45,2,MC Xenon
32,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,23,24,7,Mc Tato
33,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,4,25,13,MC MENOR HR
34,spotify:track:2zDwJnP9n9yCUyfiLIwkDM,Se Ele Soubesse - Ao Vivo,34,40,3,Guilherme & Santiago
35,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,20,29,5,Luan Santana
36,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,6,28,13,Diego & Victor Hugo
37,spotify:track:6tW23l5oRR8XyYJsF5si9G,Eu Minto (Ao Vivo),32,32,4,US Agroboy
38,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,38,—,1,Zé Neto & Cristiano
39,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,14,26,10,MC K.K
40,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,29,35,10,MC Ryan SP
41,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,30,36,10,Mc Jacaré
42,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,19,43,13,Gusttavo Lima
43,spotify:track:2jZrMlMuTk1N3LJS8yQM6q,Carinha de Bebê,43,—,1,Ana Castela
44,spotify:track:6obqb3vA4kufqEHibtF5W1,Guarda Roupa - Ao Vivo,38,41,4,Fred & Fabrício
45,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,11,46,13,Hugo & Guilherme
46,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,29,42,12,Bruno & Denner
47,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,16,38,13,Matheus & Kauan
48,spotify:track:7aZnuwpivaj4N7XFhhqBiO,Love Absurdo,48,—,1,Mari Fernandez
49,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,49,55,4,Sony no Beat
50,spotify:track:3wkev7dKaNZwHh6DRRCKEQ,Cabine Bruta,44,44,3,Luan Pereira
51,spotify:track:64wNmIaVhBaNe7qA0XR3OH,Madrugada Calada - Ao Vivo,51,53,2,Murilo Huff
52,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,18,51,13,Israel & Rodolffo
53,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,47,47,4,Mc Paiva ZS
54,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,37,37,3,Teto
55,spotify:track:1cmH3nQCYgR8lmq1ZFAXcI,Alô Inveja - Ao Vivo Em Brasília,55,62,3,Henrique & Juliano
56,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,12,39,13,Jorge & Mateus
57,spotify:track:2orGm2E68ODFYOURjaES62,Felina,22,48,13,WIU
58,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),33,52,9,Luísa Sonza
59,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,38,64,13,Gusttavo Lima
60,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,18,58,13,Hugo & Guilherme
61,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,15,50,13,Murilo Huff
62,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,22,65,13,Mari Fernandez
63,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,30,59,13,Henrique & Juliano
64,spotify:track:4XpB5oBPuygG2Gbpi3PUhu,Cria Da Ivete - Ao Vivo,64,—,1,Ivete Sangalo
65,spotify:track:6DyMzG7o8CKHPief9ayvmm,Saudade Digitando - Ao Vivo,63,63,3,Marcos & Belutti
66,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,27,57,13,Orochi
67,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,8,67,13,Gusttavo Lima
68,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,23,66,13,Matheus & Kauan
69,spotify:track:7CIj5SFTB6WPJrYjLZN5bp,Pega o Guanabara - Ao Vivo,69,74,5,Wesley Safadão
70,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,23,70,13,Hugo & Guilherme
71,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,31,54,6,Miley Cyrus
72,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,30,69,13,Felipe Amorim
73,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,26,68,13,Ana Castela
74,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,28,71,13,Paulo e Nathan
75,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,39,72,13,Henrique & Juliano
76,spotify:track:3o5LmE0gNsEBwz7VCmc3bV,Problemão - Ao Vivo,48,73,13,Hugo & Vitor
77,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,14,56,13,Mc Paiva ZS
78,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,78,80,3,Leo Santana
79,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,37,78,13,Jorge & Mateus
