rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,1,1,7,Hugo & Guilherme
2,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,1,2,14,Gusttavo Lima
3,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,4,5,Zé Felipe
4,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,3,3,12,Jorge & Mateus
5,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,5,8,3,PEDRO SAMPAIO
6,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,5,19,George Henrique & Rodrigo
7,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,5,6,10,Xamã
8,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,7,7,4,Luan Santana
9,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,9,10,6,Dj Guuga
10,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,10,18,3,MC Rogerinho
11,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,9,20,Marília Mendonça
12,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,8,13,16,Mari Fernandez
13,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,10,12,12,Matheus & Kauan
14,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,6,15,16,Zé Felipe
15,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,15,21,19,Henrique & Juliano
16,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,11,20,Henrique & Juliano
17,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,16,17,13,Wesley Safadão
18,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,12,14,7,Chefin
19,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,20,19,Paulo Pires
20,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,16,20,Henrique & Juliano
21,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,21,22,5,Zé Neto & Cristiano
22,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,3,19,17,Marília Mendonça
23,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,23,26,7,Simone & Simaria
24,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,24,27,7,Mc Don Juan
25,spotify:track:2SDGleyRLDrYZeMsZEK3Vb,Dar uma Namorada - Ao Vivo,18,24,15,Israel & Rodolffo
26,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),26,28,5,MC Teteu
27,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,12,25,20,Tayrone
28,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,3,29,20,Gusttavo Lima
29,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,15,23,12,DJ Matt D
30,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,30,34,3,George Henrique & Rodrigo
31,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,7,33,20,PEDRO SAMPAIO
32,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,31,20,Zé Neto & Cristiano
33,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,22,37,20,Clayton & Romário
34,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,35,20,Zé Felipe
35,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,13,30,20,Marília Mendonça
36,spotify:track:4AOOcHnZdU6qyUVtKZUEuF,Amava Nada - Ao Vivo,34,36,4,Lucas Lucco
37,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,32,20,Marília Mendonça
38,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,38,42,3,Guilherme & Benuto
39,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,15,41,20,Gusttavo Lima
40,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,9,50,20,Gusttavo Lima
41,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,38,38,3,Gloria Groove
42,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,41,47,9,Melody
43,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,43,84,3,LUDMILLA
44,spotify:track:6JIIejoN31NIn6BJsVS3cu,Oi Deus - Ao Vivo,24,45,18,Hugo & Guilherme
