rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,1,12,George Henrique & Rodrigo
2,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,4,7,Gusttavo Lima
3,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,2,13,Marília Mendonça
4,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,4,8,5,Jorge & Mateus
5,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,5,6,3,Xamã
6,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,5,13,Henrique & Juliano
7,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,3,3,10,Marília Mendonça
8,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,6,7,9,Zé Felipe
9,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,9,11,9,Mari Fernandez
10,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,9,12,Paulo Pires
11,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,13,13,Henrique & Juliano
12,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,7,15,13,PEDRO SAMPAIO
13,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,12,17,13,Tayrone
14,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,3,14,13,Gusttavo Lima
15,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,10,13,Zé Neto & Cristiano
16,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,12,13,Marília Mendonça
17,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,16,13,Avine Vinny
18,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,8,18,11,MC Levin
19,spotify:track:2PZmUFZGlUqkYJL0s0Cl6C,Dar uma Namorada - Ao Vivo,19,24,8,Israel & Rodolffo
20,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,20,13,Zé Felipe
21,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,11,19,13,Matheus & Kauan
22,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,22,25,13,Max e Luan
23,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,22,22,5,DJ Matt D
24,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,24,27,13,Clayton & Romário
25,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,21,23,12,Henrique & Juliano
26,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,6,21,13,Zé Neto & Cristiano
27,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,12,28,13,João Gomes
28,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,28,53,5,Matheus & Kauan
29,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,15,33,13,Felipe Amorim
30,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,30,37,6,Wesley Safadão
31,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,19,30,13,Vitor e Luan
32,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,13,29,13,Marília Mendonça
33,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,26,26,5,Anitta
34,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,9,34,13,Gusttavo Lima
35,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,11,32,13,Diego & Victor Hugo
36,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,15,43,13,Gusttavo Lima
37,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,18,31,13,Matheus Fernandes
38,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,17,35,13,Tarcísio do Acordeon
