rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,1,3,Ana Castela
2,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,2,25,AgroPlay
3,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,4,9,DENNIS
4,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,3,26,Simone Mendes
5,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,5,21,Israel & Rodolffo
6,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,6,7,5,Mc Livinho
7,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,6,23,Zé Neto & Cristiano
8,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,8,10,4,Luan Pereira
9,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",7,8,6,Mc Pedrinho
10,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,10,22,2,Gusttavo Lima
11,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,9,24,Guilherme & Benuto
12,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,4,11,25,Henrique & Juliano
13,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,11,13,11,Guilherme & Benuto
14,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,14,15,5,Zé Neto & Cristiano
15,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,11,12,7,Luan Santana
16,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,8,18,18,Zé Neto & Cristiano
17,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,17,17,7,Kadu Martins
18,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,5,14,25,Matheus & Kauan
19,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,16,16,7,Hugo & Guilherme
20,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",10,19,5,Dyamante DJ
21,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,3,20,17,Hugo & Guilherme
22,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,16,21,19,Grupo Menos É Mais
23,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,10,25,27,Gustavo Mioto
24,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,24,33,Marília Mendonça
25,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,25,28,10,Murilo Huff
26,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,23,38,Israel & Rodolffo
27,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,20,27,10,Veigh
28,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,28,63,2,Vulgo FK
29,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",29,30,5,Melody
30,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,9,26,20,Clayton & Romário
31,spotify:track:6dtQM0CXRFJgD7ifUNosZj,Desandei - Ao Vivo,24,31,13,Lauana Prado
32,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,15,29,19,Luan Pereira
33,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,6,32,26,Gusttavo Lima
34,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,5,34,32,Maiara & Maraisa
35,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,8,33,31,Ana Castela
36,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,35,39,6,Diego & Victor Hugo
37,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,37,45,5,Leo Santana
38,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,33,37,10,Israel & Rodolffo
39,spotify:track:5yscNPMHmhqHQX9B9GFzMp,Te Esqueci Sem Querer - Ao Vivo Em Brasília,23,40,14,Henrique & Juliano
40,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,9,46,21,Hugo & Guilherme
41,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,23,42,13,MC Kevin o Chris
