rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,1,10,Gusttavo Lima
2,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,2,11,Matheus Fernandes
3,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,2,4,8,Luan Santana
4,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,5,21,Hugo & Guilherme
5,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,5,6,5,Jorge & Mateus
6,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,3,7,10,Felipe Amorim
7,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,7,10,8,Hugo & Guilherme
8,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,3,3,3,Jovem Dionisio
9,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,7,8,7,MC Rogerinho
10,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,3,9,26,Jorge & Mateus
11,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,2,12,18,Luan Santana
12,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,12,15,17,Guilherme & Benuto
13,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,4,14,12,Davi Kneip
14,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,13,13,4,João Gomes
15,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,15,21,3,Henrique & Juliano
16,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,14,16,12,Matheus & Kauan
17,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,17,25,2,Mc Don Juan
18,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,6,11,19,Zé Neto & Cristiano
19,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,17,17,PEDRO SAMPAIO
20,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,1,18,28,Gusttavo Lima
21,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,19,33,George Henrique & Rodrigo
22,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),22,—,1,Gusttavo Lima
23,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,6,22,34,Henrique & Juliano
24,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,14,20,27,Wesley Safadão
25,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,25,36,5,Mari Fernandez
26,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,26,47,2,Israel & Rodolffo
27,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,24,33,Henrique & Juliano
28,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,28,28,7,MC Braz
29,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,29,51,2,Murilo Huff
30,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,30,30,5,Leo Santana
31,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,26,26,10,Paulo e Nathan
32,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,12,23,10,Matuê
33,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,29,19,Zé Felipe
34,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,27,32,11,João Bosco e Gabriel
35,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,35,35,4,O Tubarão
36,spotify:track:0E0OENqh3jaZ4VpDFTOLGj,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,31,37,7,Mc Delux
37,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),13,33,9,L7NNON
38,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,31,34,Marília Mendonça
39,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,5,34,24,Xamã
40,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,27,34,Henrique & Juliano
41,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,23,40,17,George Henrique & Rodrigo
