rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,6,AgroPlay
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,13,Marília Mendonça
3,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,3,6,4,Zé Neto & Cristiano
4,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,4,4,6,Henrique & Juliano
5,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,3,13,Israel & Rodolffo
6,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,6,7,7,Gusttavo Lima
7,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,5,5,Guilherme & Benuto
8,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,7,10,6,Matheus & Kauan
9,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,9,9,7,Simone Mendes
10,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,10,24,2,Hugo & Guilherme
11,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,11,36,2,Israel & Rodolffo
12,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,11,13,Gustavo Mioto
13,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,13,15,5,MC Xenon
14,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,5,12,13,Maiara & Maraisa
15,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,10,13,8,Gustavo Mioto
16,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,2,8,7,Leo Santana
17,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,7,18,13,Israel & Rodolffo
19,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,4,19,13,Matheus & Kauan
