rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,10,4,Marília Mendonça
2,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,36,4,Marília Mendonça
3,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,1,4,Avine Vinny
4,spotify:track:4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,2,2,4,Henrique & Juliano
5,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,5,20,3,Paulo Pires
6,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,5,4,Zé Felipe
7,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,7,12,4,PEDRO SAMPAIO
8,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,3,3,4,Gusttavo Lima
9,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,4,4,Zé Neto & Cristiano
10,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",6,7,4,DJ Patrick Muniz
11,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,11,56,2,MC Levin
12,spotify:track:5Q0ZnQjk4lQpScX7ujswun,A Maior Saudade - Ao Vivo,6,6,4,Henrique & Juliano
13,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,13,88,4,Marília Mendonça
14,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,14,—,1,Marília Mendonça
15,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,15,16,4,Felipe Amorim
16,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,10,15,4,Mc Anjim
17,spotify:track:1bK3VvFF9QzfJZDmXSsAqF,Ficha Limpa,9,9,4,Gusttavo Lima
18,spotify:track:3eq6zwPwN5SAw0rZxNHI22,Não Me Arranha - Ao Vivo,16,17,4,Gusttavo Lima
19,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,6,8,4,Zé Neto & Cristiano
20,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,20,—,1,Marília Mendonça
21,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,12,13,4,Tayrone
22,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,16,22,4,DG e Batidão Stronda
