rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,7,Gustavo Mioto
2,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,2,19,Guilherme & Benuto
3,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,2,3,11,Guilherme & Benuto
4,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,3,4,9,Diego & Victor Hugo
5,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,5,5,4,Gusttavo Lima
6,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,6,14,Jorge & Mateus
7,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,12,3,Matheus & Kauan
8,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,7,42,Hugo & Guilherme
9,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,3,10,26,Jorge & Mateus
10,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,8,9,14,Mc Paiva ZS
11,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,2,8,13,Hugo & Guilherme
12,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,9,11,13,Matheus & Kauan
13,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,11,13,13,Murilo Huff
14,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,14,17,Gusttavo Lima
15,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,14,18,26,Mari Fernandez
16,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,2,15,15,Marília Mendonça
17,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,14,17,23,Israel & Rodolffo
18,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,7,16,29,Hugo & Guilherme
19,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,19,25,4,Dj LK da Escócia
20,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,21,32,Matheus Fernandes
21,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,7,19,33,Matheus & Kauan
22,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,2,20,22,Ana Castela
23,spotify:track:2orGm2E68ODFYOURjaES62,Felina,23,27,5,WIU
24,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,2,23,12,Luan Santana
25,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,11,26,20,L7NNON
26,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,18,24,23,Murilo Huff
27,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,11,22,31,Paulo e Nathan
28,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,28,31,Gusttavo Lima
29,spotify:track:4eoqnVPLzROP9tDxcFQAAK,Alimentando Vontade,29,29,2,Zé Neto & Cristiano
30,spotify:track:2PtpfX7sX870xeOfdTMyx2,Meus Vícios - Ao Vivo,30,31,6,Guilherme & Benuto
31,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,8,30,16,Mc Jacaré
32,spotify:track:1t5dhHyXMwdbAcI3EQRqFV,Meio Fio - Ao Vivo,32,34,13,Diego & Victor Hugo
33,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,33,35,5,Kevi Jonny
34,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,17,33,13,DJ AK BR
35,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,11,32,24,Henrique & Juliano
36,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,31,42,13,Felipe Amorim
37,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,2,39,29,Luan Santana
38,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,28,36,6,Pineapple StormTv
39,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,26,37,17,Clayton & Romário
40,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,3,38,31,Felipe Amorim
41,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,41,60,3,Felipe e Rodrigo
42,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,11,43,38,Guilherme & Benuto
43,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,13,45,19,MC Tairon
44,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),34,40,6,Sam Smith
45,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,44,54,Henrique & Juliano
46,spotify:track:7LRjGCQdXzkBJj03e1kHkq,Fala Alguma Coisa - Ao Vivo,41,41,9,Paulo e Nathan
47,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,3,46,47,Jorge & Mateus
48,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,47,55,Henrique & Juliano
49,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,11,51,25,João Gomes
50,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,36,48,8,Mc Kitinho
51,spotify:track:5TGkZGCUoV1zvFxQOIQM5O,Reverse,50,50,3,HITMAKER
52,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,27,53,16,MC Kevin o Chris
53,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,52,20,Zé Felipe
54,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,7,56,28,MC Rogerinho
55,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,55,54,George Henrique & Rodrigo
56,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,8,58,16,Nivaldo Marques
57,spotify:track:3o5LmE0gNsEBwz7VCmc3bV,Problemão - Ao Vivo,57,—,1,Hugo & Vitor
58,spotify:track:3RjVR6vjFDotAeSTGSfmLT,Boca Enganada - Ao Vivo,49,49,3,Murilo Huff
59,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,54,54,12,Mc Paiva ZS
60,spotify:track:6QP9bF0ZypxoyQotcgl25J,Saudade Fudida - Ao Vivo,54,61,4,Gusttavo Lima
61,spotify:track:5IcPYzR2bkS4W3MabMpi4Z,Melhor Ser uma Saudade,6,57,40,Zé Neto & Cristiano
62,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,52,63,4,Gusttavo Lima
63,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,18,67,32,Hugo & Guilherme
64,spotify:track:3euydCfGHLFjuwHA7G7AUJ,Aqui Na Parma Tu Vem Pra Fuder,64,—,1,DJ CIRILO DE CAXIAS
