rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,1,6,Gusttavo Lima
2,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,2,2,15,Zé Neto & Cristiano
3,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,4,14,Ana Castela
4,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,2,3,7,Luan Pereira
5,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,2,6,13,Gusttavo Lima
6,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,5,16,Zé Neto & Cristiano
7,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,7,7,4,Dj GBR
8,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),2,8,12,MC Kevin o Chris
9,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,4,9,11,Felipe Amorim
10,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,10,37,Simone Mendes
11,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,8,12,22,Guilherme & Benuto
12,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,15,36,AgroPlay
13,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,11,32,Israel & Rodolffo
14,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,13,35,Guilherme & Benuto
15,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),15,16,7,Ana Castela
16,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,12,18,30,Grupo Menos É Mais
17,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,2,19,15,Luan Pereira
18,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,11,17,18,Luan Santana
19,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,14,14,18,Hugo & Guilherme
20,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,20,25,11,Gusttavo Lima
21,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,20,36,Henrique & Juliano
22,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,22,27,4,Henrique & Juliano
23,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,23,23,17,Diego & Victor Hugo
24,spotify:track:0KhLYwYVhi13hMhxX73m55,MULHER SEGURA - Ao Vivo,21,21,4,Luan Santana
25,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,22,22,11,Henrique & Juliano
26,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,13,26,10,Felipe Amorim
27,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,28,20,DENNIS
28,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,24,24,6,MC Rogerinho
29,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,4,29,16,Mc Livinho
30,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,8,34,29,Zé Neto & Cristiano
31,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,30,30,4,MC Maneirinho
32,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,25,35,21,Murilo Huff
33,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,5,31,36,Matheus & Kauan
34,spotify:track:6MCaEL0pQo1Jg1vlKpMWop,Dois Fugitivos - Ao Vivo,34,47,4,Simone Mendes
35,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,28,32,21,Israel & Rodolffo
36,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,40,34,Zé Neto & Cristiano
37,spotify:track:4N4Jk8n24I4lkSUdzoS0n7,Alô Tranqueira - Ao Vivo,37,—,1,Zé Neto & Cristiano
38,spotify:track:4dHMuSjpkUcWW3zZehOFj7,Narcisista - Ao Vivo,24,37,13,Maiara & Maraisa
39,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,36,44,Marília Mendonça
40,spotify:track:0SWDToufOxRVIngk8c1oZi,AMBIENTE ERRADO - Ao Vivo,23,33,10,Luan Santana
41,spotify:track:5eID9KNVJV2fDSPQGzQHQg,Oficializar - Ao Vivo,35,39,7,Gusttavo Lima
42,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,21,41,37,NATTAN
43,spotify:track:5qjwjBzWAxXjjqinjENzIF,Dói,33,43,10,Jorge & Mateus
44,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,12,38,18,Kadu Martins
45,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",7,45,17,Mc Pedrinho
46,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,46,70,2,Manu
47,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,3,44,28,Hugo & Guilherme
48,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",29,52,16,Melody
49,spotify:track:1KEhkxdCRb1k8UDHqACgNY,Desandei - Ao Vivo,24,51,24,Lauana Prado
50,spotify:track:4vdFF0P7oTZoeKvnfIsbh3,Te Esqueci Sem Querer - Ao Vivo Em Brasília,23,48,25,Henrique & Juliano
51,spotify:track:6e5byyKtx6R0h66gagelPe,Quando Apaga A Luz - Ao Vivo,10,42,38,Gustavo Mioto
52,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,25,46,13,Vulgo FK
53,spotify:track:64I2WXRrFWWxjRh8uTYYQB,Abre A Mente - Ao Vivo Em Brasília,42,49,18,Henrique & Juliano
54,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,20,50,21,Veigh
55,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,55,100,2,Flora Matos
56,spotify:track:1V4l4h7kYaKyXJk74g6ilu,Guardanapo Borrado - Ao Vivo,56,65,11,Israel & Rodolffo
57,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,9,53,32,Hugo & Guilherme
58,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,15,54,30,Luan Pereira
59,spotify:track:3S8M3mZGIc10IdtmNTsrjQ,Eu Não Previ - Ao Vivo em Goiânia,54,55,11,Traia Véia
60,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,9,56,31,Clayton & Romário
61,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,46,57,12,GORDÃO DO PC
62,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",10,58,16,Dyamante DJ
63,spotify:track:0tBgLNgCmRTmqrydcFfQjt,Ia Dar Bom,50,64,19,Pedro Paulo & Alex
64,spotify:track:2yIJ2CVZkTDftAsL9NPTw2,Milionário - Ao Vivo,52,60,5,Guilherme & Benuto
65,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,44,59,19,Eric Land
66,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,62,63,3,Israel & Rodolffo
67,spotify:track:62W2f0QOg20ufNjJQHqnkq,Fernando de Noronha,67,—,1,Mc IG
68,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,38,69,31,Belle Kaffer
69,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,4,66,52,Matheus & Kauan
70,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,67,56,Gustavo Mioto
71,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,29,71,45,Bruno & Denner
72,spotify:track:7zmS0vPbWg2k6sfL3uqrGD,Cê Não Me Superou - Ao Vivo,52,61,18,Luiza Martins
73,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,65,75,6,Luísa Sonza
74,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,5,72,43,Maiara & Maraisa
75,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,68,68,Guilherme & Benuto
76,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,13,79,26,Gusttavo Lima
77,spotify:track:0ZVWliWjMmYFxQe9U63Y5W,5 Da Manhã - Ao Vivo,77,87,2,Raí Saia Rodada
78,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,3,78,63,Jorge & Mateus
79,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",51,62,7,Mc IG
