rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,1,11,Guilherme & Benuto
2,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,4,9,Gusttavo Lima
3,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,2,2,4,Luan Santana
4,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,4,6,5,Hugo & Guilherme
5,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,2,3,14,Ana Castela
6,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,2,5,7,Marília Mendonça
7,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,3,7,18,Jorge & Mateus
8,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,8,34,Hugo & Guilherme
9,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,9,20,6,Jorge & Mateus
10,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,7,9,25,Matheus & Kauan
11,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,10,23,Gusttavo Lima
12,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,11,11,23,Paulo e Nathan
13,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,13,14,5,Murilo Huff
14,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,7,12,21,Hugo & Guilherme
15,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,15,15,6,Mc Paiva ZS
16,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,15,16,15,Israel & Rodolffo
17,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,8,13,8,Mc Jacaré
18,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,11,17,12,L7NNON
19,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,19,25,5,Matheus & Kauan
20,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,17,18,5,DJ AK BR
21,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,21,24,Matheus Fernandes
22,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,15,22,18,Mari Fernandez
23,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,2,19,21,Luan Santana
24,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,24,30,3,Guilherme & Benuto
25,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,24,12,Zé Felipe
26,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,26,27,9,Clayton & Romário
27,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,8,23,8,Nivaldo Marques
28,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,3,33,23,Felipe Amorim
29,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,18,26,15,Murilo Huff
30,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,3,28,39,Jorge & Mateus
31,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,27,29,8,MC Kevin o Chris
32,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,13,31,11,MC Tairon
33,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,33,37,5,Felipe Amorim
34,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,32,46,George Henrique & Rodrigo
35,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,35,—,1,Diego & Victor Hugo
36,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,2,36,31,Luan Santana
37,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,11,35,30,Guilherme & Benuto
38,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,7,34,20,MC Rogerinho
39,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,11,38,16,Henrique & Juliano
40,spotify:track:1t5dhHyXMwdbAcI3EQRqFV,Meio Fio - Ao Vivo,40,41,5,Diego & Victor Hugo
41,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,11,39,17,João Gomes
42,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,14,40,40,Wesley Safadão
43,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,42,46,Henrique & Juliano
44,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,15,45,15,Mc Don Juan
45,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,6,43,32,Zé Neto & Cristiano
46,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),7,50,14,Gusttavo Lima
47,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,28,48,20,MC Braz
48,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,47,47,Henrique & Juliano
49,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,4,51,25,Davi Kneip
50,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,20,46,24,João Bosco e Gabriel
51,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,20,44,7,Luísa Sonza
52,spotify:track:4NFkcqZ3jU2O9rgEbuluVn,Bafora o Lança - Remix,42,49,4,Mario Mc
53,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,1,52,41,Gusttavo Lima
54,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,18,53,24,Hugo & Guilherme
55,spotify:track:0JAnjmcYMX157RsnmkhDBW,Fala Alguma Coisa - Ao Vivo,55,—,1,Paulo e Nathan
56,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,22,55,16,Wesley Safadão
57,spotify:track:3imzmQM2DPPVBLMiBBexRL,202,57,68,2,Kweller
