rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,12,AgroPlay
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,13,Marília Mendonça
3,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,3,3,10,Zé Neto & Cristiano
4,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,4,5,11,Guilherme & Benuto
5,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,8,8,Israel & Rodolffo
6,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,6,9,13,Simone Mendes
7,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,2,4,13,Israel & Rodolffo
8,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,6,7,12,Matheus & Kauan
9,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,5,6,12,Henrique & Juliano
10,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,10,10,6,Luan Pereira
11,spotify:track:5v8EhStRWlvoY2qbcZR5R2,Mágica - Ao Vivo,11,11,4,Hugo & Guilherme
12,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,4,12,11,MC Xenon
13,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,13,13,7,Clayton & Romário
14,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),14,42,2,MC PH
15,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,3,14,13,Gustavo Mioto
16,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,15,15,4,KayBlack
17,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,11,16,13,Gustavo Mioto
18,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,12,17,13,Gusttavo Lima
19,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,5,19,13,Ana Castela
20,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,6,21,13,Maiara & Maraisa
21,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,6,20,13,WIU
22,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,4,18,6,Zé Felipe
23,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,22,23,5,Henrique & Juliano
24,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,12,22,13,Naiara Azevedo
25,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,10,25,13,Israel & Rodolffo
26,spotify:track:6cZqw8wIrMsFxCNMzLRbNU,Metade De Mim - Ao Vivo,21,24,8,Hugo & Guilherme
27,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,7,26,13,Matheus & Kauan
28,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,28,38,3,KayBlack
29,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,16,27,6,MC Kevin o Chris
30,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,20,29,13,Felipe e Rodrigo
31,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,17,30,13,Guilherme & Benuto
32,spotify:track:5pBU3Yihoa4hiwQ2T5fGhH,Esse B.O é Meu - Ao Vivo,16,36,13,Guilherme & Benuto
33,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,30,32,11,NATTAN
34,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,9,31,13,Zé Felipe
35,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,35,55,2,Gusttavo Lima
36,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,36,61,6,Grupo Menos É Mais
37,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,19,34,13,Jorge & Mateus
38,spotify:track:0VhG6qzFZo9JrHu56Wq7gh,* da Anitta,38,100,2,Mc Daniel
39,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,35,39,7,MC Rogerinho
40,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,7,28,13,Mc Tato
41,spotify:track:2orGm2E68ODFYOURjaES62,Felina,28,40,13,WIU
42,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,4,35,13,Guilherme & Benuto
44,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,37,37,4,Wesley Safadão
45,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,24,45,13,Luan Santana
46,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,26,48,13,Mc Paiva ZS
47,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,2,44,12,Leo Santana
48,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,46,46,8,Belle Kaffer
