rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,1,10,George Henrique & Rodrigo
2,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,3,11,Marília Mendonça
3,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,2,11,Henrique & Juliano
4,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,4,8,Marília Mendonça
5,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,5,5,7,Zé Felipe
6,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,6,12,5,Gusttavo Lima
7,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,2,6,9,MC Levin
8,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,8,10,9,Paulo Pires
9,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,2,11,11,Avine Vinny
10,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,10,17,3,Jorge & Mateus
11,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,5,7,11,PEDRO SAMPAIO
12,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,4,8,11,Marília Mendonça
13,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,13,11,Zé Neto & Cristiano
14,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,9,9,11,Henrique & Juliano
15,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,15,15,6,Mari Fernandez
16,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,5,14,11,Gusttavo Lima
17,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,16,11,Zé Felipe
18,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,18,11,Zé Neto & Cristiano
19,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,18,22,11,Tayrone
20,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,12,19,11,Matheus & Kauan
21,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,21,69,2,Xamã
22,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,11,24,11,Matheus Fernandes
23,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,20,20,3,Anitta
24,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,11,27,11,João Gomes
25,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",3,23,11,DJ Patrick Muniz
26,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,26,26,10,Max e Luan
27,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,27,32,3,DJ Matt D
28,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,25,25,10,Henrique & Juliano
29,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,21,11,Mc Anjim
30,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,23,28,11,Vitor e Luan
31,spotify:track:2PZmUFZGlUqkYJL0s0Cl6C,Dar uma Namorada - Ao Vivo,31,35,6,Israel & Rodolffo
32,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,14,30,11,Gusttavo Lima
33,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,15,31,11,Felipe Amorim
34,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,13,33,11,Luan Santana
35,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,35,41,10,Clayton & Romário
36,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,25,37,11,Zé Felipe
37,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,18,34,11,Diego & Victor Hugo
38,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,25,36,8,Marília Mendonça
39,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,21,42,11,Tarcísio do Acordeon
40,spotify:track:2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,40,47,11,Israel & Rodolffo
41,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,15,29,10,Marina Sena
42,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,32,39,10,Mc Davi
43,spotify:track:6m84TzSTM5nbwZxIxkYHz6,Namorando Com Saudade,28,40,11,Jorge & Mateus
