rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,9,Ana Castela
2,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,2,6,Zé Felipe
3,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,3,5,MC Tairon
4,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,4,4,6,L7NNON
5,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,5,73,2,Luísa Sonza
6,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,9,28,Hugo & Guilherme
7,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,5,5,12,Jorge & Mateus
8,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,8,12,3,Gusttavo Lima
9,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,9,17,5,Guilherme & Benuto
10,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,1,6,15,Luan Santana
11,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,7,17,Matheus Fernandes
12,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,12,—,1,Marília Mendonça
13,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,3,8,10,Mc Don Juan
14,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,2,10,17,Gusttavo Lima
15,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,13,19,Davi Kneip
16,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,4,11,17,Felipe Amorim
17,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,17,20,19,Matheus & Kauan
18,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,10,14,16,MC Braz
19,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,11,15,13,MC Rogerinho
20,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,20,55,2,MC Kevin o Chris
21,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,15,16,15,Hugo & Guilherme
22,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,22,61,2,Mc Jacaré
23,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,13,18,11,João Gomes
24,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,24,40,George Henrique & Rodrigo
25,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,19,25,Luan Santana
26,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,23,23,9,Israel & Rodolffo
