rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,10,Ana Castela
2,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,2,22,3,Mc Jacaré
3,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,3,6,MC Tairon
4,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,4,4,7,L7NNON
5,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,2,7,Zé Felipe
6,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,6,9,6,Guilherme & Benuto
7,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,5,5,3,Luísa Sonza
8,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,12,2,Marília Mendonça
9,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,5,7,13,Jorge & Mateus
10,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,6,29,Hugo & Guilherme
11,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,8,8,4,Gusttavo Lima
12,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,1,10,16,Luan Santana
13,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,3,13,11,Mc Don Juan
14,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,11,18,Matheus Fernandes
15,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,15,20,3,MC Kevin o Chris
16,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,2,14,18,Gusttavo Lima
17,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,17,17,20,Matheus & Kauan
18,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,10,18,17,MC Braz
19,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,15,20,Davi Kneip
20,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,15,21,16,Hugo & Guilherme
21,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,25,26,Luan Santana
22,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,22,26,10,Israel & Rodolffo
23,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,11,19,14,MC Rogerinho
