rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,1,5,Jovem Dionisio
2,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,2,11,Matheus Fernandes
3,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,1,3,9,Luan Santana
4,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,4,22,Hugo & Guilherme
5,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,5,6,4,Mc Don Juan
6,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,2,5,11,Gusttavo Lima
7,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,7,9,6,Jorge & Mateus
8,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,4,7,11,Felipe Amorim
9,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,8,13,Davi Kneip
10,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,10,18,PEDRO SAMPAIO
11,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,11,27,Jorge & Mateus
12,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,12,12,10,MC Braz
13,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,14,19,Luan Santana
14,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,11,13,7,MC Rogerinho
15,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,15,18,18,Guilherme & Benuto
16,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,15,15,9,Hugo & Guilherme
17,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,17,34,George Henrique & Rodrigo
18,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,8,16,11,Matuê
19,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,19,26,4,Henrique & Juliano
20,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,20,21,5,João Gomes
21,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,14,19,7,Mc Pepeu
22,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,20,26,Xamã
23,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,22,22,13,Matheus & Kauan
24,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),24,39,2,Gusttavo Lima
25,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,9,25,35,Henrique & Juliano
26,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,27,29,Gusttavo Lima
27,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,17,24,12,Mc Gabzin
28,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,12,28,20,Zé Neto & Cristiano
29,spotify:track:0E0OENqh3jaZ4VpDFTOLGj,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,22,23,8,Mc Delux
30,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,20,33,28,Wesley Safadão
31,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,31,36,3,Israel & Rodolffo
32,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,18,34,34,Henrique & Juliano
33,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,15,30,11,Teto
34,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),12,31,10,L7NNON
35,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,20,29,11,Harry Styles
36,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,35,20,Zé Felipe
37,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,37,35,Marília Mendonça
38,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),32,32,3,Kate Bush
39,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),29,38,7,Anitta
