rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,1,6,PEDRO SAMPAIO
2,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,2,14,Xamã
3,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,2,3,10,Hugo & Guilherme
4,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,5,7,Luan Santana
5,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,4,8,Zé Felipe
6,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Envolver,6,47,3,Anitta
7,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,6,22,George Henrique & Rodrigo
8,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,7,17,Gusttavo Lima
9,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,5,8,10,Chefin
10,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,9,15,Jorge & Mateus
11,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,10,11,6,MC Rogerinho
12,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,10,23,Marília Mendonça
13,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,12,12,6,Gloria Groove
14,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",14,14,4,Vulgo FK
15,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,15,23,Henrique & Juliano
16,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,10,13,9,Dj Guuga
17,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,17,—,1,Davi Kneip
18,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,19,15,DJ Matt D
19,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,18,18,22,Henrique & Juliano
20,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,9,21,23,Henrique & Juliano
21,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,21,26,6,Luísa Sonza
22,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,15,16,12,Matheus & Kauan
23,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),14,17,9,MC Teteu
24,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,22,20,Marília Mendonça
25,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,5,24,23,PEDRO SAMPAIO
26,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,5,23,19,Zé Felipe
27,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,15,20,10,Simone & Simaria
28,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,20,30,16,Wesley Safadão
29,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,10,25,18,Mari Fernandez
30,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,30,32,8,Zé Neto & Cristiano
31,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,8,27,21,Paulo Pires
32,spotify:track:71efUiJwL11CRkI5aMplsi,Sentadona (Ai Calica),32,46,3,Davi Kneip
33,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,15,29,23,Tayrone
34,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,21,31,22,Mc Davi
35,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,22,28,7,LUDMILLA
36,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,23,48,23,Gusttavo Lima
37,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,18,43,15,Anitta
38,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,35,35,4,Pineapple StormTv
39,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,30,37,10,Jão
40,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,25,42,20,Marília Mendonça
41,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,25,39,8,Anitta
42,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,4,38,23,Marília Mendonça
43,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,40,23,Zé Felipe
44,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,26,33,9,Mc Don Juan
45,spotify:track:0VF2XFdgeID7448iU2Vyg9,Novinha Malada do Insta,31,36,9,MC Josh
46,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,41,23,Zé Neto & Cristiano
47,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,44,44,12,Mc Poze do Rodo
48,spotify:track:2SDGleyRLDrYZeMsZEK3Vb,Dar uma Namorada - Ao Vivo,23,45,18,Israel & Rodolffo
49,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,33,53,11,Luísa Sonza
50,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),24,58,23,Lil Nas X
51,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,49,52,6,George Henrique & Rodrigo
52,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,5,34,23,Gusttavo Lima
53,spotify:track:4AOOcHnZdU6qyUVtKZUEuF,Amava Nada - Ao Vivo,49,50,7,Lucas Lucco
54,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,27,51,22,Clayton & Romário
55,spotify:track:1d7Z2HUkWno2w4452Jaqt6,50 por Cento,55,70,2,Naiara Azevedo
56,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,44,54,12,Matuê
57,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,54,55,6,Guilherme & Benuto
58,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),41,78,12,The Kid LAROI
59,spotify:track:7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,59,73,22,Elton John
60,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,53,67,18,Imagine Dragons
61,spotify:track:4fouWK6XVHhzl78KzQ1UjL,abcdefu,61,72,17,GAYLE
62,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,64,23,Zé Neto & Cristiano
63,spotify:track:0EMAzKGOFxJgG9vHsm7ciF,Eu Vou Machucar Só um Pouquinho X Catucando Gostosinho,60,60,3,JC NO BEAT
64,spotify:track:0j8nXyOr5UXWHqy0BBnZ6L,Dá Intimidade Pra Ver - Ao Vivo,56,56,4,Israel & Rodolffo
65,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,2,66,21,MC Levin
66,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,59,23,Mc Anjim
67,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,23,65,23,Vitor e Luan
68,spotify:track:2IsusePMD32LQKNU7vZiAH,É Só Blusão da Ecko e Boné da Lacoste Vs Putaria (feat. Mc Denny),51,62,5,Dj Tk
69,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,2,63,23,Avine Vinny
70,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,70,—,1,Matheus & Kauan
71,spotify:track:452LVnTBjXYW3guqe3xiqI,Vamo Tomar Uma,29,69,23,Zé Neto & Cristiano
72,spotify:track:17QN5kFprJqHdHLMj7hz4s,Ficha Limpa - Ao Vivo,14,57,23,Gusttavo Lima
73,spotify:track:1FGRA5pMtBqJLNAaSBia2x,Maldivas,61,61,3,LUDMILLA
74,spotify:track:4BfppnNi6ZQTI8Ezo97zX6,Deus É o Meu Guia,74,77,2,Chefin
75,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,15,49,22,Marina Sena
76,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,9,71,23,Matuê
77,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,12,76,23,Matheus & Kauan
78,spotify:track:02MWAaffLxlfxAUY7c5dvx,Heat Waves,78,97,2,Glass Animals
79,spotify:track:4OjLi2Ji9UhVsHjqzRGCsM,Quebrando Protocolo - Ao Vivo,50,83,21,Gusttavo Lima
80,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,11,79,23,Matheus Fernandes
81,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,42,68,11,Melody
82,spotify:track:5rz7ZQkMpQHGDXC62P2Axw,ESSE É LADRÃO,54,75,8,DJ BRUNIN DA NT
83,spotify:track:1EOvzIhBFxiFvjubeCHn3T,Estelionato Afetivo - Ao Vivo,61,80,18,Douglas & Vinicius
84,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,18,84,23,Diego & Victor Hugo
85,spotify:track:1gKXrwKn5ub6wyefqMsnZp,Joga na Cara,85,91,3,MC Braz
86,spotify:track:46oPxSyS5ZZLg0EbqsKW4x,Juliet E Chapelão (Ao Vivo),86,—,1,Dj Chris No Beat
87,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,42,85,23,Henrique & Juliano
88,spotify:track:3YOxWp8HTyp5FivmCU5p8z,Desgastou - Ao Vivo,88,—,1,Henrique & Juliano
89,spotify:track:5onALPPboSh4z6cO24tOvW,Canto da Sereia,88,88,5,MC Menor da VG
90,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,22,86,22,Max e Luan
91,spotify:track:1QmupixsVNc0osesKXraZC,Formosa,56,87,5,Kaio Viana
92,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,14,90,20,Marília Mendonça
93,spotify:track:3bJ4nTkTXMYpYgM7zoUqPY,Voltei pra Cachorrada,92,99,7,DJ Jeeh FDC
94,spotify:track:67fTDdGkHk1G5IZokS4uML,Esse Barulho,70,89,8,Murilo Huff
95,spotify:track:20on25jryn53hWghthWWW3,Do It To It,57,92,17,ACRAZE
96,spotify:track:6Lrzxd7ST5oQ6FYKXKH7Ia,Vagabundo,31,98,23,Matheus & Kauan
97,spotify:track:3bk6sZAoYDNCdpIOfGM0pQ,A QUEDA,20,95,3,Gloria Groove
98,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,25,96,23,Zé Felipe
99,spotify:track:36mUWhjTM3GNpncYy7RR6z,Boca Ocupada,94,94,3,Cleber & Cauan
100,spotify:track:4k7mlEX9Nc3Ei0nFQ4cOE3,LEILÃO,64,—,1,Gloria Groove
