rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,43,2,Jovem Dionisio
2,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,1,1,6,Luan Santana
3,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,3,7,8,Matheus Fernandes
4,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,2,2,8,Gusttavo Lima
5,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,4,5,8,Felipe Amorim
6,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,3,10,Davi Kneip
7,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,4,19,Hugo & Guilherme
8,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,6,15,PEDRO SAMPAIO
9,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,8,16,Luan Santana
10,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,6,9,24,Jorge & Mateus
11,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,11,18,4,MC Rogerinho
12,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,8,10,8,Matuê
13,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,13,25,3,Jorge & Mateus
14,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,14,15,7,MC Braz
15,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,15,31,6,Hugo & Guilherme
16,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,12,23,Xamã
17,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,11,31,George Henrique & Rodrigo
18,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,12,13,17,Zé Neto & Cristiano
19,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,14,14,4,Mc Pepeu
20,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,20,30,8,Harry Styles
21,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,21,21,15,Guilherme & Benuto
22,spotify:track:0E0OENqh3jaZ4VpDFTOLGj,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,22,22,5,Mc Delux
23,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,23,49,2,João Gomes
24,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,17,17,9,Mc Gabzin
25,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,15,19,8,Teto
26,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),12,16,7,L7NNON
27,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,9,23,32,Henrique & Juliano
28,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,24,26,10,Matheus & Kauan
29,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,20,26,Gusttavo Lima
30,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,24,32,Henrique & Juliano
31,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,28,32,Marília Mendonça
32,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,27,17,Zé Felipe
33,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,20,32,25,Wesley Safadão
34,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),29,29,4,Anitta
35,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,18,33,31,Henrique & Juliano
36,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,5,35,19,Chefin
37,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,10,37,15,MC Rogerinho
38,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,34,12,Anitta
39,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,32,36,15,George Henrique & Rodrigo
40,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,38,29,Marília Mendonça
41,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,12,41,15,Gloria Groove
42,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,39,39,9,João Bosco e Gabriel
43,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,10,44,27,Mari Fernandez
44,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,45,24,DJ Matt D
45,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,15,40,21,Matheus & Kauan
46,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,46,66,4,Paulo e Nathan
47,spotify:track:45VwwcqkVl61khE9JT2OxK,Baile da Serra,47,54,2,Braão
48,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,48,93,2,Leo Santana
49,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,44,46,21,Mc Poze do Rodo
50,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,50,—,1,Harry Styles
51,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",14,42,13,Vulgo FK
52,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,35,47,13,Pineapple StormTv
53,spotify:track:2VATVdFqb7QqxfAcQPvNpc,Ex Alcoolizado - Ao Vivo,52,52,8,Israel & Rodolffo
54,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,54,—,1,Henrique & Juliano
55,spotify:track:6W56j9ijl9n2l76Hs4hgGn,Larga AÍ Pra Ver - Ao Vivo,53,56,6,Léo & Raphael
56,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,25,50,29,Marília Mendonça
57,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,57,—,1,Mc Don Juan
