rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,16,4,Marília Mendonça
2,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,2,2,4,Avine Vinny
3,spotify:track:4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,1,1,4,Henrique & Juliano
4,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,4,40,4,Marília Mendonça
5,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,5,7,4,PEDRO SAMPAIO
6,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,6,37,2,MC Levin
7,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",3,3,4,DJ Patrick Muniz
8,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,5,5,4,Zé Felipe
9,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,4,4,Mc Anjim
10,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,8,4,Zé Neto & Cristiano
11,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,5,6,4,Gusttavo Lima
12,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,12,—,1,Marília Mendonça
13,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,13,46,2,Paulo Pires
14,spotify:track:5Q0ZnQjk4lQpScX7ujswun,A Maior Saudade - Ao Vivo,9,9,4,Henrique & Juliano
15,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,15,29,3,Marina Sena
16,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,9,14,4,Matuê
17,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,17,17,4,Felipe Amorim
18,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,8,10,4,Zé Neto & Cristiano
19,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,11,11,4,Matheus Fernandes
20,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,20,20,4,Gloria Groove
21,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,11,18,4,João Gomes
22,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,19,24,4,DG e Batidão Stronda
23,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Graveto - Ao Vivo,23,—,1,Marília Mendonça
24,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,12,12,4,Matheus & Kauan
25,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,25,—,1,Marília Mendonça
26,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,13,13,4,Luan Santana
27,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,18,19,4,Tayrone
28,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,15,21,4,John Amplificado
29,spotify:track:1bK3VvFF9QzfJZDmXSsAqF,Ficha Limpa,14,15,4,Gusttavo Lima
30,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,30,—,1,Marília Mendonça
31,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,21,26,4,Tarcísio do Acordeon
32,spotify:track:2jPACjKR21inTnWeo3eHla,"Louis V, Menina Linda",28,30,4,Sidoka
33,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,25,27,4,Zé Felipe
34,spotify:track:6pQKUKBpwr6GhfhcFFFozo,Não Nasceu pra Namorar,22,25,4,MC Zaquin
35,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,23,23,4,Vitor e Luan
36,spotify:track:3RbXsVQr4jeTxvT35Hssq3,Bebi Liguei - Ao Vivo,36,—,1,Marília Mendonça
37,spotify:track:4E6RdcCWMiHTu7zy1VTNDo,Todo Mundo Vai Sofrer - Ao Vivo,37,—,1,Marília Mendonça
38,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,38,—,1,Marília Mendonça
