rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,1,6,Gusttavo Lima
2,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,1,2,7,Luan Pereira
3,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,2,3,4,Dj GBR
4,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,4,4,15,Zé Neto & Cristiano
5,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,2,6,14,Ana Castela
6,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,5,12,MC Kevin o Chris
7,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,4,7,30,Grupo Menos É Mais
8,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,10,36,AgroPlay
9,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,8,8,16,Zé Neto & Cristiano
10,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,8,11,13,Gusttavo Lima
11,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,9,9,4,MC Maneirinho
12,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,4,12,35,Guilherme & Benuto
13,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,7,13,10,Felipe Amorim
14,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,1,15,16,Mc Livinho
15,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,16,37,Simone Mendes
16,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,3,18,15,Luan Pereira
17,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,14,32,Israel & Rodolffo
18,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,20,20,DENNIS
19,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,9,17,18,Luan Santana
20,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),19,19,7,Ana Castela
21,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,18,21,22,Guilherme & Benuto
22,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,22,23,17,Diego & Victor Hugo
23,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,10,22,13,Vulgo FK
24,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,7,24,21,Veigh
25,spotify:track:0KhLYwYVhi13hMhxX73m55,MULHER SEGURA - Ao Vivo,25,25,4,Luan Santana
26,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,26,27,5,MC Rogerinho
27,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,5,26,36,Henrique & Juliano
28,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,17,29,10,Felipe Amorim
29,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",3,28,17,Mc Pedrinho
30,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,28,33,11,Gusttavo Lima
31,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,26,30,18,Hugo & Guilherme
32,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,6,32,36,Matheus & Kauan
33,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,35,43,Marília Mendonça
34,spotify:track:0SWDToufOxRVIngk8c1oZi,AMBIENTE ERRADO - Ao Vivo,25,31,10,Luan Santana
35,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",24,40,16,Melody
36,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,15,36,16,Kadu Martins
37,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,10,38,30,Luan Pereira
38,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,37,37,8,Henrique & Juliano
39,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,30,42,35,NATTAN
40,spotify:track:6e5byyKtx6R0h66gagelPe,Quando Apaga A Luz - Ao Vivo,11,34,38,Gustavo Mioto
41,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,35,39,21,Israel & Rodolffo
42,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,42,—,1,Flora Matos
43,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,38,43,17,Murilo Huff
44,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,3,45,34,Zé Neto & Cristiano
45,spotify:track:62W2f0QOg20ufNjJQHqnkq,Fernando de Noronha,45,61,3,Mc IG
46,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,46,50,4,Henrique & Juliano
47,spotify:track:4dHMuSjpkUcWW3zZehOFj7,Narcisista - Ao Vivo,32,44,13,Maiara & Maraisa
48,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,19,46,23,Zé Neto & Cristiano
49,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,34,47,12,GORDÃO DO PC
50,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,22,49,32,Belle Kaffer
51,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",29,41,8,Mc IG
52,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,42,48,6,Luísa Sonza
53,spotify:track:6MCaEL0pQo1Jg1vlKpMWop,Dois Fugitivos - Ao Vivo,53,60,3,Simone Mendes
54,spotify:track:5qjwjBzWAxXjjqinjENzIF,Dói,47,52,10,Jorge & Mateus
55,spotify:track:4AKsSRxe6z6woOAsXr5gVA,Coração na Geladeira 2,55,64,11,Mc Kevin
56,spotify:track:4N4Jk8n24I4lkSUdzoS0n7,Alô Tranqueira - Ao Vivo,56,—,1,Zé Neto & Cristiano
57,spotify:track:5eID9KNVJV2fDSPQGzQHQg,Oficializar - Ao Vivo,53,54,7,Gusttavo Lima
58,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",8,55,16,Dyamante DJ
59,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,11,53,28,Hugo & Guilherme
60,spotify:track:1KEhkxdCRb1k8UDHqACgNY,Desandei - Ao Vivo,30,56,23,Lauana Prado
61,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,59,56,Gustavo Mioto
62,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,23,76,43,Mc Jacaré
63,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),14,63,26,MC PH
64,spotify:track:0tBgLNgCmRTmqrydcFfQjt,Ia Dar Bom,50,66,19,Pedro Paulo & Alex
65,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,12,57,31,Clayton & Romário
66,spotify:track:4vdFF0P7oTZoeKvnfIsbh3,Te Esqueci Sem Querer - Ao Vivo Em Brasília,37,58,25,Henrique & Juliano
67,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,6,51,6,Luísa Sonza
68,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,68,49,Israel & Rodolffo
69,spotify:track:64I2WXRrFWWxjRh8uTYYQB,Abre A Mente - Ao Vivo Em Brasília,62,62,18,Henrique & Juliano
70,spotify:track:1V4l4h7kYaKyXJk74g6ilu,Guardanapo Borrado - Ao Vivo,70,98,2,Israel & Rodolffo
71,spotify:track:7Iq55toOSSBCEoGuXxQSa1,Vem Quebrando,67,67,4,Mc Danone
72,spotify:track:5vdQUAFncALEH9EQvyAqIX,Forte Forte de Lacoste - Pra Começar o Final de Semana,31,70,17,DJ Jeeh FDC
73,spotify:track:3S8M3mZGIc10IdtmNTsrjQ,Eu Não Previ - Ao Vivo em Goiânia,65,65,6,Traia Véia
74,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,5,78,42,Ana Castela
75,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,6,75,52,Matheus & Kauan
76,spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,76,—,1,Tate McRae
77,spotify:track:27ECP9NCzTAoTpxXNePZuS,01 Não É 02,68,82,13,Mc Paiva ZS
78,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,7,84,40,Mc Tato
79,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,4,72,35,MC Xenon
80,spotify:track:4wjDiZGsZYQqKkXyPcQGF6,Agudo Mágico 4,80,—,1,MC K.K
81,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,69,68,Guilherme & Benuto
82,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,15,71,22,MC Guh SR
83,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,39,79,27,KayBlack
84,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,26,93,38,Mc Paiva ZS
85,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,21,73,32,Hugo & Guilherme
86,spotify:track:6LSza8vBsCd7xLk13cYhIv,Jovens Milionários (Let's Go 2),86,88,6,MC PH
87,spotify:track:3l5VjEAeUTqrlD50iEo8Yn,Licor 43,81,85,4,KayBlack
88,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,6,80,43,Maiara & Maraisa
89,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),7,77,24,Matuê
90,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,87,87,3,Israel & Rodolffo
91,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,22,92,24,MC Kevin o Chris
92,spotify:track:71VNsncPcTfQiklVO9uXfB,Ô Lá na Roça - Ao Vivo,58,—,1,Felipe & Murillo
93,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,5,96,2,Jorge & Mateus
