rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,1,11,Guilherme & Benuto
2,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,2,15,Ana Castela
3,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,3,3,8,Mc Paiva ZS
4,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,4,4,4,Luan Santana
5,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,2,5,8,Mc Jacaré
6,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,6,7,9,Gusttavo Lima
7,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,6,6,DJ AK BR
8,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,4,9,12,L7NNON
9,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,8,34,Hugo & Guilherme
10,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,5,11,18,Jorge & Mateus
11,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,10,7,Marília Mendonça
12,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,12,14,5,Hugo & Guilherme
13,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,12,13,25,Matheus & Kauan
14,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,12,11,MC Tairon
15,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,15,33,6,Jorge & Mateus
16,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,15,15,8,MC Kevin o Chris
17,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,18,23,Matheus Fernandes
18,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,2,17,23,Gusttavo Lima
19,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,19,19,15,Israel & Rodolffo
20,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,21,12,Zé Felipe
21,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,1,16,21,Luan Santana
22,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,20,20,19,Paulo e Nathan
23,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,23,23,5,Murilo Huff
24,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,15,22,21,Hugo & Guilherme
25,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,25,28,15,Mari Fernandez
26,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,3,24,16,Mc Don Juan
27,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,4,37,23,Felipe Amorim
