rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,1,5,Davi Kneip
2,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,2,10,PEDRO SAMPAIO
3,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,3,3,Matuê
4,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,4,18,Xamã
5,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,3,6,14,Hugo & Guilherme
6,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,6,7,11,Luan Santana
7,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,5,7,Anitta
8,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,9,12,Zé Felipe
9,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,8,8,3,Teto
10,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,10,13,3,Felipe Amorim
11,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,8,10,19,Jorge & Mateus
12,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,12,25,George Henrique & Rodrigo
13,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),13,66,2,L7NNON
14,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,14,16,3,Gusttavo Lima
15,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,11,14,Chefin
16,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,14,21,Gusttavo Lima
17,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,17,17,11,Zé Neto & Cristiano
18,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,20,27,Henrique & Juliano
19,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,18,18,3,Harry Styles
20,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",10,15,8,Vulgo FK
21,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,21,27,3,Matheus Fernandes
22,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,21,27,Marília Mendonça
23,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,23,24,4,Mc Gabzin
24,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,25,27,Henrique & Juliano
25,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,9,19,10,MC Rogerinho
26,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,10,22,10,Gloria Groove
27,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,5,23,19,DJ Matt D
28,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,21,26,26,Henrique & Juliano
29,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,19,29,20,Wesley Safadão
