rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,12,Ana Castela
2,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,2,6,7,Mc Paiva ZS
3,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,3,3,10,Guilherme & Benuto
4,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,2,2,7,Mc Jacaré
5,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,5,8,3,Luan Santana
6,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,4,11,L7NNON
7,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,5,11,MC Tairon
8,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,7,4,DJ AK BR
9,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,7,9,8,Gusttavo Lima
10,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,3,13,33,Hugo & Guilherme
11,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,7,12,6,Marília Mendonça
12,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,10,10,7,MC Kevin o Chris
13,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,8,11,17,Jorge & Mateus
14,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,14,15,24,Matheus & Kauan
15,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,16,22,Matheus Fernandes
16,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,16,34,4,Hugo & Guilherme
17,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,14,11,Zé Felipe
18,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,4,18,21,MC Braz
19,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,2,19,15,Mc Don Juan
