rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,1,6,MC MENOR HR
2,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,2,3,5,Israel & Rodolffo
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,2,11,Gustavo Mioto
4,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,4,24,Guilherme & Benuto
5,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,5,21,Mc Paiva ZS
6,spotify:track:2orGm2E68ODFYOURjaES62,Felina,5,8,11,WIU
7,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,7,14,3,Zé Felipe
8,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,3,7,15,Guilherme & Benuto
9,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,6,6,8,Matheus & Kauan
10,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,10,10,6,Orochi
11,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,5,9,14,Diego & Victor Hugo
12,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,9,13,9,Dj LK da Escócia
13,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,6,11,18,Jorge & Mateus
14,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,7,12,9,Gusttavo Lima
15,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,3,15,47,Hugo & Guilherme
16,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,16,26,Ana Castela
17,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,17,25,3,DJ Dozabri
18,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,17,25,L7NNON
19,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,19,28,4,Felipe e Rodrigo
20,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,18,25,MC Tairon
21,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,8,19,31,Jorge & Mateus
22,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,21,21,5,Guilherme & Benuto
23,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,20,22,28,Israel & Rodolffo
24,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,2,24,21,Mc Jacaré
25,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,16,20,18,Matheus & Kauan
