rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,1,1,3,Leo Santana
2,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,2,10,Marília Mendonça
3,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,3,13,Israel & Rodolffo
4,spotify:track:4bT4Gbs7FA4cLyZeKtlGVO,Facilita Aí,4,4,3,Zé Felipe
5,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,5,23,3,AgroPlay
6,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,2,5,13,Gustavo Mioto
7,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,5,6,11,WIU
8,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,6,7,7,Mc Tato
9,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,9,18,8,Anitta
10,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,1,9,13,MC MENOR HR
11,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,11,12,3,Henrique & Juliano
12,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,12,34,2,MC Xenon
13,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,13,24,4,Gusttavo Lima
14,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,5,13,13,Zé Felipe
15,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,11,11,5,Gustavo Mioto
16,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,8,8,10,Maiara & Maraisa
17,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,6,15,7,DJ Jeeh FDC
19,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,8,10,9,Ana Castela
20,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,4,14,13,Guilherme & Benuto
21,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,16,22,6,Naiara Azevedo
22,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,15,16,11,MC Ryan SP
23,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,12,20,12,Israel & Rodolffo
24,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,24,40,3,Matheus & Kauan
25,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),21,38,13,Kadu Martins
26,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,6,26,13,Felipe e Rodrigo
27,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,27,50,2,Guilherme & Benuto
28,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,6,27,13,Guilherme & Benuto
29,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,6,21,13,Matheus & Kauan
30,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,7,19,10,MC K.K
31,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,17,17,4,Teto
32,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,11,29,13,Jorge & Mateus
33,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,26,33,10,Mc Jacaré
34,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,10,25,13,Guilherme & Benuto
35,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,31,32,5,Mc Paiva ZS
36,spotify:track:2orGm2E68ODFYOURjaES62,Felina,6,28,13,WIU
