rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,7,Xamã
2,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,1,2,14,George Henrique & Rodrigo
3,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,3,6,3,Chefin
4,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,3,3,3,Hugo & Guilherme
5,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,4,10,Gusttavo Lima
6,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,5,5,8,DJ Matt D
7,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,7,16,Marília Mendonça
8,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,8,13,8,Jorge & Mateus
9,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,4,12,16,PEDRO SAMPAIO
10,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,3,8,12,Zé Felipe
11,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,8,9,11,Mari Fernandez
12,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,10,13,Marília Mendonça
13,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,11,16,Henrique & Juliano
14,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,6,14,14,Paulo Pires
15,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,2,15,14,MC Levin
16,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,16,21,8,Anitta
17,spotify:track:0lxGtl0S9wO2LAFchHrEtM,Imagina A Sentada - Ao Vivo,17,19,5,Matheus & Kauan
18,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,17,16,Henrique & Juliano
19,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,18,16,Zé Felipe
20,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,7,23,16,Marília Mendonça
21,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,16,20,16,Tayrone
22,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,22,33,9,Wesley Safadão
23,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,16,16,Avine Vinny
24,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,22,22,15,Mc Davi
25,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,24,16,Zé Neto & Cristiano
26,spotify:track:2SDGleyRLDrYZeMsZEK3Vb,Dar uma Namorada - Ao Vivo,26,26,11,Israel & Rodolffo
27,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,25,16,Mc Anjim
28,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,28,—,1,Anitta
29,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,29,—,1,Zé Felipe
30,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,29,31,15,Henrique & Juliano
31,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,28,32,15,Max e Luan
32,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,10,29,16,Matheus Fernandes
33,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,14,38,15,Marina Sena
34,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,33,37,5,Matuê
35,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,14,30,16,Felipe Amorim
36,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,36,36,8,Mc Poze do Rodo
37,spotify:track:2342lPAZ9zddhgAQEiLx4V,ANACONDA *o* ~~~,37,43,4,Luísa Sonza
38,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,6,28,16,Gusttavo Lima
39,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,39,65,2,Mc Don Juan
40,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,15,27,16,Matheus & Kauan
41,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,41,67,2,Jão
42,spotify:track:49GdoM9fiTXVOx1a6JTokJ,Assalto Perigoso,41,41,4,Melody
43,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,9,35,16,Zé Neto & Cristiano
44,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,11,39,16,João Gomes
45,spotify:track:7KPhwNko8V9vYBIN653hSO,A Cara do Crime 2 (Cansou de Playboy),45,62,2,Mc Poze do Rodo
46,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,46,66,3,Simone & Simaria
47,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,32,47,13,Marília Mendonça
48,spotify:track:452LVnTBjXYW3guqe3xiqI,Vamo Tomar Uma,32,42,16,Zé Neto & Cristiano
49,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,18,40,16,Tarcísio do Acordeon
50,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,8,46,16,Matuê
51,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,32,34,14,Clayton & Romário
52,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,20,45,16,Zé Felipe
53,spotify:track:7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,47,50,16,Elton John
54,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,14,44,16,Luan Santana
55,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,55,—,1,Dj Guuga
