rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,1,1,10,Israel & Rodolffo
2,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,2,11,MC MENOR HR
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,3,16,Gustavo Mioto
4,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,4,17,4,Marília Mendonça
5,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,4,29,Guilherme & Benuto
6,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,5,5,8,Zé Felipe
7,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,7,9,4,MC K.K
8,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,3,6,20,Guilherme & Benuto
9,spotify:track:1dMyIigB6MDsfD3xuG6TbO,Média Boa - Ao Vivo,6,7,9,Felipe e Rodrigo
10,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,10,18,11,Orochi
11,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,6,8,13,Matheus & Kauan
12,spotify:track:2orGm2E68ODFYOURjaES62,Felina,5,19,16,WIU
13,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,10,26,Mc Paiva ZS
14,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,12,13,6,Israel & Rodolffo
15,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,13,14,10,Guilherme & Benuto
16,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,5,11,19,Diego & Victor Hugo
17,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,17,23,5,MC Ryan SP
18,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,6,12,23,Jorge & Mateus
19,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,19,26,5,WIU
20,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,20,25,4,Maiara & Maraisa
21,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,12,16,8,DJ Dozabri
22,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),22,30,3,Luísa Sonza
23,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,9,15,14,Dj LK da Escócia
24,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,3,20,52,Hugo & Guilherme
25,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,25,38,3,Ana Castela
26,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),21,21,8,Kadu Martins
27,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,7,22,14,Gusttavo Lima
28,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,28,29,4,Mc Jacaré
29,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,24,31,Ana Castela
30,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,16,28,23,Matheus & Kauan
31,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,8,27,36,Jorge & Mateus
32,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,32,—,1,DJ Jeeh FDC
33,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,26,33,23,Murilo Huff
34,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,18,32,33,Mari Fernandez
35,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,20,34,33,Israel & Rodolffo
36,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,31,30,L7NNON
37,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,37,45,2,Anitta
38,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,35,30,MC Tairon
39,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,14,37,43,Matheus & Kauan
40,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,7,40,25,Marília Mendonça
41,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,36,41,Matheus Fernandes
42,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,38,41,5,Gusttavo Lima
43,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,43,—,1,Mc Tato
44,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,4,49,17,Pineapple StormTv
45,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,7,39,27,Gusttavo Lima
46,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,16,50,41,Harry Styles
47,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,32,43,22,Felipe Amorim
48,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,33,55,28,MC Cabelinho
49,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,3,42,41,Felipe Amorim
50,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,46,47,4,Bruno & Denner
51,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,51,98,2,MC Cabelinho
52,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,39,54,30,Mc Gabzin
53,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,46,63,George Henrique & Rodrigo
54,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),17,64,16,Sam Smith
55,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),42,67,17,David Guetta
56,spotify:track:5t7E1z1kVtHyPxWNmUtXN4,Te Love - Ao Vivo,35,51,14,Kevi Jonny
57,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,4,53,22,Luan Santana
58,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,2,44,26,Mc Jacaré
59,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,13,52,23,Hugo & Guilherme
60,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,48,23,DJ AK BR
61,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,22,68,31,Mc Paiva ZS
62,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,21,56,64,Henrique & Juliano
63,spotify:track:0BWEkqsmPe3qOzrRVztHU3,Acabei de Terminar - Ao Vivo,24,57,36,Paulo e Nathan
64,spotify:track:2PtpfX7sX870xeOfdTMyx2,Meus Vícios - Ao Vivo,52,59,13,Guilherme & Benuto
65,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,13,58,35,João Gomes
66,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,26,65,34,Henrique & Juliano
67,spotify:track:5mJFh4iRzgmWuEVPG8257V,Quem Não Conhece Tá Sem Internet,39,63,15,MC Marks
68,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,8,72,57,Jorge & Mateus
69,spotify:track:3gx9a8ea1nI0Wym9hJpdbJ,Hino dos Mlks,38,88,12,BIN
70,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,42,66,8,Yago Oproprio
71,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,2,61,39,Luan Santana
72,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,73,65,Marília Mendonça
73,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,21,71,39,Hugo & Guilherme
74,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,17,60,48,Guilherme & Benuto
75,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,9,74,37,MC Rogerinho
76,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,61,62,6,Grupo Menos É Mais
77,spotify:track:7woVi4HBuv0rsO98Ox2Fcq,Doce Veneno,48,79,13,Mc Paiva ZS
78,spotify:track:4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,22,69,18,Mc Kitinho
79,spotify:track:1t5dhHyXMwdbAcI3EQRqFV,Meio Fio - Ao Vivo,51,70,22,Diego & Victor Hugo
80,spotify:track:2XaEn8iznBz9ZE9YJqJdQ6,Revoada do Tubarão 3,27,85,7,MC Ryan SP
81,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,75,65,Henrique & Juliano
82,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,6,77,49,Luan Santana
