rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,1,5,MC Tairon
2,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,2,4,6,Ana Castela
3,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,3,5,Zé Felipe
4,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,2,5,L7NNON
5,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,2,5,9,Mc Don Juan
6,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,6,16,Matheus Fernandes
7,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,4,8,15,MC Braz
8,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,8,11,11,Jorge & Mateus
9,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,3,7,16,Felipe Amorim
10,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,2,9,14,Luan Santana
11,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,12,18,Davi Kneip
12,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,3,10,27,Hugo & Guilherme
13,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,4,13,16,Gusttavo Lima
14,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,9,14,12,MC Rogerinho
15,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,15,44,2,Gusttavo Lima
16,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,13,15,10,João Gomes
17,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,1,16,10,Jovem Dionisio
18,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,17,23,PEDRO SAMPAIO
19,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,6,18,24,Luan Santana
20,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,20,26,18,Matheus & Kauan
21,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,19,16,Matuê
22,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,22,29,4,Guilherme & Benuto
23,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,21,21,14,Hugo & Guilherme
24,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,24,31,Xamã
25,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,16,22,17,Mc Gabzin
26,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,17,25,23,Guilherme & Benuto
27,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,17,20,12,Mc Pepeu
28,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,28,38,George Henrique & Rodrigo
29,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,29,33,8,Israel & Rodolffo
30,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,14,30,6,Baco Exu do Blues
31,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,8,23,32,Jorge & Mateus
32,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,16,31,16,Harry Styles
33,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,8,32,16,Teto
34,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,37,40,Henrique & Juliano
35,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,35,38,8,Mari Fernandez
36,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),31,35,8,Kate Bush
37,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,19,39,33,Wesley Safadão
38,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),23,27,7,Gusttavo Lima
39,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,40,25,Zé Felipe
40,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,45,40,Marília Mendonça
41,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,41,67,3,Wesley Safadão
42,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,33,42,6,Teto
43,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,34,34,9,Leo Santana
44,spotify:track:4IX43MpJlpxzRMLb9QayrJ,PERIGO NOTURNO - Ao Vivo,44,46,3,Luan Santana
45,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,38,41,16,João Bosco e Gabriel
46,spotify:track:4aoZBldNDVYmTwmeoI49ud,O Poder Dessa Garota,46,50,5,Mc Gabzin
47,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,47,—,1,MC Kevin o Chris
48,spotify:track:347KmRWwYXcZSUgelz7Cit,Konteiner,34,48,5,Filipe Ret
49,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,47,34,Gusttavo Lima
50,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,43,51,9,O Tubarão
51,spotify:track:5DhiTYpD599fu3q7fCepgL,Dior,49,49,5,BIN
