rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,1,8,Ana Castela
2,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,2,7,MC Tairon
3,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,3,7,L7NNON
4,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,4,7,Zé Felipe
5,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,5,27,3,Mc Jacaré
6,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,5,5,3,Luísa Sonza
7,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,7,15,2,Marília Mendonça
8,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,7,7,4,Gusttavo Lima
9,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,8,9,13,Jorge & Mateus
10,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,2,6,11,Mc Don Juan
11,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,11,14,6,Guilherme & Benuto
12,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,8,18,Matheus Fernandes
13,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,3,10,29,Hugo & Guilherme
14,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,14,17,3,MC Kevin o Chris
15,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,4,12,17,MC Braz
16,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,2,11,16,Luan Santana
17,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,13,20,Davi Kneip
18,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,4,18,18,Gusttavo Lima
19,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,9,19,14,MC Rogerinho
