rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,1,6,DENNIS
2,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,2,16,AgroPlay
3,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",3,7,3,Mc Pedrinho
4,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,3,16,Israel & Rodolffo
5,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,4,16,Simone Mendes
6,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,6,50,2,Mc Livinho
7,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,5,5,7,Veigh
8,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,6,16,Guilherme & Benuto
9,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,8,8,16,Grupo Menos É Mais
10,spotify:track:3Nvzs0cJbLwhXPPlI8xzpC,Vai Novinha Ah Ah Ah,10,39,2,Dyamante DJ
11,spotify:track:7KWgILiigX4Qr2WFeeerkc,Oi Balde - Ao Vivo,4,9,16,Zé Neto & Cristiano
12,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,4,11,16,Henrique & Juliano
13,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,6,10,16,Matheus & Kauan
14,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,14,16,4,Luan Santana
15,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,3,13,16,Israel & Rodolffo
16,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,2,12,8,MC Caverinha
17,spotify:track:2d2K6DhHPBsi78K9E0cWrD,Leão,2,15,16,Marília Mendonça
18,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,12,14,16,Luan Pereira
19,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,14,17,16,Gustavo Mioto
20,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,10,19,14,KayBlack
21,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,19,20,10,MC Kevin o Chris
22,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,22,26,8,Guilherme & Benuto
23,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,11,24,14,Hugo & Guilherme
24,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,17,18,7,MC Guh SR
25,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),2,22,10,Matuê
26,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,8,23,16,Gustavo Mioto
27,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,9,21,16,WIU
28,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,14,25,16,Clayton & Romário
29,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,27,29,16,Belle Kaffer
30,spotify:track:4PJJAeZfpRFQa4jfIPwMP1,Pátio do Posto - Ao Vivo,26,27,9,Zé Neto & Cristiano
31,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,16,30,16,Ana Castela
32,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,24,28,7,Veigh
33,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",33,46,2,Melody
34,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,12,31,16,Gusttavo Lima
35,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,20,32,16,Maiara & Maraisa
36,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,20,36,13,KayBlack
37,spotify:track:6dtQM0CXRFJgD7ifUNosZj,Desandei - Ao Vivo,37,47,8,Lauana Prado
38,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,33,35,16,MC Rogerinho
39,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,4,38,16,MC Xenon
40,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,24,34,16,Naiara Azevedo
41,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,41,—,1,Kadu Martins
42,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),12,37,12,MC PH
43,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,43,44,4,Hugo & Guilherme
44,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,23,40,16,NATTAN
45,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,45,—,1,Luan Pereira
46,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,13,42,16,MC Kevin o Chris
47,spotify:track:5yscNPMHmhqHQX9B9GFzMp,Te Esqueci Sem Querer - Ao Vivo Em Brasília,42,43,10,Henrique & Juliano
48,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,32,41,13,KayBlack
49,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,35,48,12,Gusttavo Lima
50,spotify:track:3dgeqa8u8FenXF9cNbVdsF,Um Mês E Pouco - Ao Vivo,50,90,2,Zé Neto & Cristiano
51,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,44,51,16,Mc Jacaré
52,spotify:track:1YTzCKxoOSZOqcNh6wa15I,Galopeira,52,55,8,MC Menor MT
53,spotify:track:1JQ1ylL2JEjC6Ib7IJgOvS,Coração Amoleceu,51,52,16,Mc Don Juan
54,spotify:track:7kJ0aTB5gLMYrJjYft3Vx6,Na Contramão,53,53,7,DJ Katrip
55,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,55,64,2,Murilo Huff
56,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,13,54,16,Mc Tato
57,spotify:track:5vdQUAFncALEH9EQvyAqIX,Forte Forte de Lacoste - Pra Começar o Final de Semana,57,58,3,DJ Jeeh FDC
58,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,20,33,15,Henrique & Juliano
59,spotify:track:5WGTBzRLbjj0Sm3Br8X1rI,Bandido Não Dança,28,59,16,Mc Paiva ZS
60,spotify:track:15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,60,—,1,Leo Santana
61,spotify:track:2X5o4nRiocnoaaQ2wMwaeC,Sorrisin De Puto,46,49,16,DJ Cayoo
62,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,62,75,2,Diego & Victor Hugo
63,spotify:track:0yZRkiCSy4ra9EykuYyGo0,Mandona (Se eu te dissesse),49,62,4,Vulgo FK
64,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,4,60,16,Zé Felipe
65,spotify:track:0nVpE03Iv9uioPSomEN5v0,Funk Rave,57,57,2,Anitta
66,spotify:track:3d1im1pw3WLuEty2k9XzTr,Clickbait,27,56,10,Veigh
67,spotify:track:5y7yYXNSsT89A27DQxbmUL,Covardia,40,61,14,Wesley Safadão
68,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,26,45,16,Matheus & Kauan
69,spotify:track:0bBwi6ddYeTv5fXgHAdfiH,Evoque Prata,21,66,16,MC MENOR HR
70,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,70,81,4,Eric Land
71,spotify:track:6UHMmTS8TfWK3vKvoEZOQG,Me Gusta - AgroPlay Verão,47,71,5,AgroPlay
72,spotify:track:2orGm2E68ODFYOURjaES62,Felina,24,68,16,WIU
73,spotify:track:5Ubx4DpvVodvsGH9ilxPVi,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,32,74,16,Guilherme & Benuto
74,spotify:track:5ffDENIdtByAZxHpuuj9li,Vida Chique,42,69,16,Veigh
75,spotify:track:2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,43,65,16,KayBlack
76,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,60,78,5,Israel & Rodolffo
77,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Flowers,37,70,16,Miley Cyrus
78,spotify:track:1JxrRikYoQjq2hlogQFyv5,Vai Luan - AgroPlay Verão,78,—,1,AgroPlay
79,spotify:track:3k79jB4aGmMDUQzEwa46Rz,vampire,79,—,1,Olivia Rodrigo
80,spotify:track:3l5VjEAeUTqrlD50iEo8Yn,Licor 43,67,67,10,KayBlack
81,spotify:track:4KUj5wxJuY9Nf7L6guRxrU,Abre A Mente - Ao Vivo Em Brasília,81,—,1,Henrique & Juliano
82,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,50,72,16,Mc Paiva ZS
83,spotify:track:1TgVaCf8D5mXZrK1d7uIZe,Bebê Tá Solta,50,83,16,Yuri Redicopa
84,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,30,77,16,MC Ryan SP
85,spotify:track:5pBU3Yihoa4hiwQ2T5fGhH,Esse B.O é Meu - Ao Vivo,40,84,16,Guilherme & Benuto
86,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,22,73,16,Israel & Rodolffo
87,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,27,82,16,DJ Jeeh FDC
88,spotify:track:3O2wrDL7nnSDZOrdZqxyoY,Noite Fria,22,80,16,Mc IG
89,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,25,88,16,Hugo & Guilherme
90,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,41,86,16,Orochi
91,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,56,79,16,Harry Styles
92,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,77,87,16,Ana Castela
93,spotify:track:5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,33,89,16,Guilherme & Benuto
94,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,67,85,16,MC Cabelinho
95,spotify:track:0tBgLNgCmRTmqrydcFfQjt,Ia Dar Bom,81,—,1,Pedro Paulo & Alex
96,spotify:track:2xs2TwrlfamtW0DQqId0M5,Set Dj Boy 3.0,91,91,2,DJ BOY
97,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,29,96,16,Zé Felipe
98,spotify:track:74Le949TrZk4zwDjtWzH23,Cavalo de Pau,60,98,16,Bruno & Denner
99,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,29,—,1,Felipe e Rodrigo
100,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,34,93,16,Jorge & Mateus
