rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,1,9,Davi Kneip
2,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,2,2,5,Luan Santana
3,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,3,7,Matuê
4,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,4,6,7,Gusttavo Lima
5,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,5,5,7,Felipe Amorim
6,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,7,14,PEDRO SAMPAIO
7,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,3,4,18,Hugo & Guilherme
8,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,8,10,7,Matheus Fernandes
9,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,9,22,Xamã
10,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,6,8,15,Luan Santana
11,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,8,11,23,Jorge & Mateus
12,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,8,12,7,Teto
13,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,13,29,George Henrique & Rodrigo
14,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,14,18,6,MC Braz
15,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),9,14,6,L7NNON
16,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,16,17,8,Mc Gabzin
17,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,17,23,3,Mc Pepeu
18,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,16,16,15,Zé Neto & Cristiano
19,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,19,35,3,MC Rogerinho
20,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,17,19,7,Harry Styles
21,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),21,28,3,Anitta
22,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,22,24,4,Mc Delux
23,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,21,16,Zé Felipe
24,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,15,11,Anitta
25,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,26,18,Chefin
26,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,2,22,31,Henrique & Juliano
27,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,27,27,14,Guilherme & Benuto
28,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,3,20,25,Gusttavo Lima
29,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,11,25,31,Henrique & Juliano
30,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,29,31,Marília Mendonça
31,spotify:track:546dFmvwFGBY7MJOkV5ctq,Todo Seu - Ao Vivo,31,48,2,Jorge & Mateus
32,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,30,34,9,Matheus & Kauan
33,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,19,31,24,Wesley Safadão
34,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,21,30,30,Henrique & Juliano
35,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",10,36,12,Vulgo FK
36,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,32,32,5,Hugo & Guilherme
37,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,26,40,12,Pineapple StormTv
38,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,31,38,23,Mc Poze do Rodo
39,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,9,39,14,MC Rogerinho
40,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,10,37,14,Gloria Groove
41,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,5,33,23,DJ Matt D
42,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,5,43,28,Marília Mendonça
43,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,39,41,13,George Henrique & Rodrigo
44,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,8,45,26,Mari Fernandez
45,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,45,—,1,Jovem Dionisio
46,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,16,44,20,Matheus & Kauan
47,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,46,46,7,João Bosco e Gabriel
48,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,48,—,1,João Gomes
49,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,8,47,16,Dj Guuga
50,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,17,42,14,Luísa Sonza
51,spotify:track:45VwwcqkVl61khE9JT2OxK,Baile da Serra,51,—,1,Braão
52,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,33,51,20,Matuê
53,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,36,53,31,Elton John
54,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,21,63,17,Mc Don Juan
55,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,32,54,28,Marília Mendonça
56,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,55,55,19,Filipe Ret
57,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,16,50,31,Tayrone
58,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),16,60,16,MC Teteu
59,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,22,62,30,Mc Davi
60,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,8,58,31,Matuê
61,spotify:track:2VATVdFqb7QqxfAcQPvNpc,Ex Alcoolizado - Ao Vivo,61,68,7,Israel & Rodolffo
62,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,31,59,17,Jão
63,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,3,49,27,Zé Felipe
64,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),29,56,31,Lil Nas X
65,spotify:track:0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,65,65,6,L7NNON
66,spotify:track:5jYEiTNR3FQXFouTX7Ju0N,Socadona,15,57,15,LUDMILLA
67,spotify:track:0EMAzKGOFxJgG9vHsm7ciF,Eu Vou Machucar Só um Pouquinho X Catucando Gostosinho,62,77,12,JC NO BEAT
68,spotify:track:1gKXrwKn5ub6wyefqMsnZp,Joga na Cara,68,71,12,MC Braz
69,spotify:track:0bvLxd9bUAYGKkpMYdR60F,Mal Caminho,67,73,6,DJ JOAO DA INESTAN
70,spotify:track:0wHFktze2PHC5jDt3B17DC,First Class,70,84,2,Jack Harlow
71,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,4,61,31,PEDRO SAMPAIO
72,spotify:track:4HpRywZJgzkXXYLKJ0mLiY,Minha Cópia Atual - Ao Vivo,67,67,5,Henrique & Juliano
73,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),40,64,20,The Kid LAROI
74,spotify:track:0VF2XFdgeID7448iU2Vyg9,Novinha Malada do Insta,29,79,17,MC Josh
75,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,64,69,8,Harry Styles
76,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,45,52,6,Hugo & Guilherme
77,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,7,66,31,Marília Mendonça
78,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,6,75,29,Paulo Pires
79,spotify:track:02MWAaffLxlfxAUY7c5dvx,Heat Waves,38,70,10,Glass Animals
80,spotify:track:0cHflpV8SSGbE0NKaasEfT,F* F* M*,73,74,8,Filipe Ret
81,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,90,31,Mc Anjim
82,spotify:track:1iaPDgTbsKrlznVu13EWIf,ESSÊNCIA DE CRIA,68,88,11,MC Cabelinho
83,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,6,82,31,Gusttavo Lima
84,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,78,31,Zé Neto & Cristiano
85,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,32,76,29,Clayton & Romário
86,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,14,83,30,Marina Sena
87,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,94,31,Zé Felipe
88,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,43,72,11,Imagine Dragons
89,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,10,87,31,Matheus Fernandes
90,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,9,85,31,Zé Neto & Cristiano
91,spotify:track:6W56j9ijl9n2l76Hs4hgGn,Larga AÍ Pra Ver - Ao Vivo,86,86,2,Léo & Raphael
92,spotify:track:53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,28,93,31,Mc Poze do Rodo
93,spotify:track:2ABBlgwXo68orcunvBYYiY,Aulas e Cursos,80,80,3,DNASTY
94,spotify:track:5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,61,95,2,Grupo Menos É Mais
95,spotify:track:2FeBslNBMdR9V58uv6hd2t,N95,95,—,1,Kendrick Lamar
96,spotify:track:5onALPPboSh4z6cO24tOvW,Canto da Sereia,92,—,1,MC Menor da VG
97,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,14,99,18,Simone & Simaria
98,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Woman,56,—,1,Doja Cat
99,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,81,81,2,Paulo e Nathan
100,spotify:track:20on25jryn53hWghthWWW3,Do It To It,53,100,25,ACRAZE
