rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,1,13,AgroPlay
2,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,2,2,3,MC Caverinha
3,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,3,13,Israel & Rodolffo
4,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,4,13,Simone Mendes
5,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,6,13,Guilherme & Benuto
6,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,4,8,13,Zé Neto & Cristiano
7,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,7,23,2,Veigh
8,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,6,9,13,Matheus & Kauan
9,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,2,7,13,Marília Mendonça
10,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,3,10,13,Israel & Rodolffo
11,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,4,11,13,Henrique & Juliano
12,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),2,5,5,Matuê
13,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,10,12,9,KayBlack
14,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,14,14,12,Grupo Menos É Mais
15,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,12,13,11,Luan Pereira
16,spotify:track:0ZAL7RbP2FsM3rObV60o7T,Namorando Ou Não - Ao Vivo,14,15,12,Clayton & Romário
17,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,7,16,13,WIU
18,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,11,17,9,Hugo & Guilherme
19,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,6,18,13,Gustavo Mioto
20,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,12,19,13,Gustavo Mioto
21,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,21,—,1,DENNIS
22,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,22,28,5,MC Kevin o Chris
23,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,16,20,13,Ana Castela
24,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,20,22,8,KayBlack
25,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,18,25,13,Naiara Azevedo
26,spotify:track:7CUQQLRMIeSfa4m2uQcRHp,Rancorosa - Ao Vivo Em Brasília,20,26,10,Henrique & Juliano
27,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),12,21,7,MC PH
28,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,4,24,13,MC Xenon
29,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,29,41,2,Veigh
30,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,30,46,2,MC Guh SR
31,spotify:track:5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,14,29,13,Maiara & Maraisa
32,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,12,30,13,Gusttavo Lima
33,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,27,27,12,Belle Kaffer
34,spotify:track:4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo,34,40,4,Zé Neto & Cristiano
35,spotify:track:1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love) - Ao Vivo,35,35,7,Gusttavo Lima
36,spotify:track:18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,22,36,13,Israel & Rodolffo
37,spotify:track:5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,13,33,11,MC Kevin o Chris
38,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,33,37,12,MC Rogerinho
39,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,24,38,13,Matheus & Kauan
40,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,23,39,13,NATTAN
