rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,20,4,Marília Mendonça
2,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,1,4,Avine Vinny
3,spotify:track:4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,2,2,4,Henrique & Juliano
4,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,4,6,4,PEDRO SAMPAIO
5,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,4,4,4,Zé Felipe
6,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",3,3,4,DJ Patrick Muniz
7,spotify:track:0JdkDCdrhMOaeXjIZdeBXN,Ela me Falou Que Quer Rave,7,40,2,MC Levin
8,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,4,5,4,Mc Anjim
9,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,9,46,4,Marília Mendonça
10,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,6,7,4,Gusttavo Lima
11,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,11,45,2,Paulo Pires
12,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,8,9,4,Matuê
13,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,7,8,4,Zé Neto & Cristiano
14,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,14,32,3,Marina Sena
15,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,14,14,4,Felipe Amorim
16,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,10,10,4,Matheus Fernandes
17,spotify:track:5Q0ZnQjk4lQpScX7ujswun,A Maior Saudade - Ao Vivo,11,11,4,Henrique & Juliano
18,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,17,21,4,DG e Batidão Stronda
19,spotify:track:4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,19,—,1,Marília Mendonça
20,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,11,13,4,João Gomes
21,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,9,12,4,Zé Neto & Cristiano
22,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,12,15,4,John Amplificado
23,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,23,23,4,Gloria Groove
24,spotify:track:4PQdrXMDHDPl1RczrrlADd,MORENA,14,16,4,Luan Santana
25,spotify:track:1wdhj1r7aeWVDUl9d18YKu,Expectativa x Realidade,15,17,4,Matheus & Kauan
26,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,18,22,4,Tarcísio do Acordeon
27,spotify:track:1bK3VvFF9QzfJZDmXSsAqF,Ficha Limpa,15,18,4,Gusttavo Lima
28,spotify:track:1tYJnXtKLoWVIL4lZOouQG,Cê Tá Preparada - Ao Vivo,19,19,4,Tayrone
29,spotify:track:2R9IrE42Mw4zdUXAEFNiZL,Senta Danada,20,27,4,Zé Felipe
30,spotify:track:2jPACjKR21inTnWeo3eHla,"Louis V, Menina Linda",26,28,4,Sidoka
31,spotify:track:3tc8Z4lGzOIwmIVftsxO6o,Graveto - Ao Vivo,31,—,1,Marília Mendonça
32,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,32,—,1,Marília Mendonça
33,spotify:track:6pQKUKBpwr6GhfhcFFFozo,Não Nasceu pra Namorar,22,25,4,MC Zaquin
34,spotify:track:6bvY4L6D3gqBPGE1iSkbOW,Mete a Louca,30,30,4,MC Rogerinho
35,spotify:track:6WxpU2F5gwTzwYsAalI6nI,Motel Afrodite,35,—,1,Marília Mendonça
36,spotify:track:6fe5D0ivKnpXFMAnoSRjah,Localiza Aí BB,24,26,4,Vitor e Luan
37,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,35,35,4,Japãozin
38,spotify:track:53BkPZwlaLbW77uV9BnJkl,Eu Fiz o Jogo Virar,28,33,4,Mc Poze do Rodo
39,spotify:track:3eq6zwPwN5SAw0rZxNHI22,Não Me Arranha - Ao Vivo,36,36,4,Gusttavo Lima
40,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),29,38,4,Lil Nas X
41,spotify:track:3RbXsVQr4jeTxvT35Hssq3,Bebi Liguei - Ao Vivo,41,—,1,Marília Mendonça
42,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,42,—,1,Marília Mendonça
43,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,23,24,4,Diego & Victor Hugo
44,spotify:track:4E6RdcCWMiHTu7zy1VTNDo,Todo Mundo Vai Sofrer - Ao Vivo,44,—,1,Marília Mendonça
45,spotify:track:38MpAndIjGAyVdcC6npX95,Infiel - Ao Vivo,45,—,1,Marília Mendonça
46,spotify:track:64I6t2tuUGnIlaDIzHJ6YI,Quero Você do Jeito Que Quiser,46,—,1,Marília Mendonça
47,spotify:track:3ua3rqwBNmeGeQfcKnA3bT,Groupies,30,44,4,Doode
48,spotify:track:4DWKtQVURjepn8uzBgmwuv,Doutora 3,36,43,4,Mc Kevin
49,spotify:track:6m84TzSTM5nbwZxIxkYHz6,Namorando Com Saudade,29,29,4,Jorge & Mateus
50,spotify:track:0FqVtQxRD3HsPltldG5v5M,Aquelas Coisas,37,42,4,João Gomes
51,spotify:track:4YhPcVIxIAJrLhFVPGbJkE,De Quem É a Culpa? - Ao Vivo,51,—,1,Marília Mendonça
52,spotify:track:1hs2hRwPfyFLoYIf6jY1W7,Zero Saudade - Ao Vivo,27,31,4,Os Barões Da Pisadinha
53,spotify:track:1tdDDOJRdbo1Uz47D1k62G,Passinho Debochado,33,37,4,Dan Ventura
54,spotify:track:7D5F5BzIon5zhzQrOU2pdN,Ciumeira - Ao Vivo,54,—,1,Marília Mendonça
55,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,Se For Amor,41,47,4,João Gomes
56,spotify:track:1G0kLIS0hE6uUPlIE9gksp,Fã Clube,56,—,1,Marília Mendonça
57,spotify:track:0wRn3ggAY1fIupTaVigdza,A Cara do Crime (Nós Incomoda),32,55,4,Mc Poze do Rodo
58,spotify:track:6Lrzxd7ST5oQ6FYKXKH7Ia,Vagabundo,33,34,4,Matheus & Kauan
59,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,59,71,2,George Henrique & Rodrigo
60,spotify:track:7IG7laqVpcvIIULrwWP5SA,Vida Louca,48,56,4,Mc Poze do Rodo
61,spotify:track:2aqqXrjrPdRHU9uSeRmL3C,Menina Se Prepara,50,50,4,Mc Pepeu
62,spotify:track:3jSG8oE8doxDxmpe5GlFee,"Não, Não Vou",44,52,4,Mari Fernandez
63,spotify:track:2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,46,48,4,Israel & Rodolffo
64,spotify:track:4SjkLzyFBVXaxuB6SbJyJN,Eu Sei de Cor - Ao Vivo,64,—,1,Marília Mendonça
65,spotify:track:0RoVmAeG1dC9U34S6RCCIB,Quebrando Protocolo - Ao Vivo,51,51,2,Gusttavo Lima
66,spotify:track:41pFFOnh1glVNIlrWOpBjb,Se Joga no Passinho,42,49,4,Brisa Star
67,spotify:track:6Vgn3IEUkWs3d6og029Gtm,Mustang Preto,46,58,4,Teto
68,spotify:track:452LVnTBjXYW3guqe3xiqI,Vamo Tomar Uma,32,39,4,Zé Neto & Cristiano
69,spotify:track:3V7jLMYvvg4BHi4tmDveNc,Faking Love (feat. Saweetie),58,66,4,Anitta
70,spotify:track:37erXXnh4mlWE7mdO6EYOp,Ausência - Ao Vivo | Acústico,70,—,1,Marília Mendonça
71,spotify:track:2jb8HW2CXr4mOJaw7LJyVw,Acordo - Ao Vivo,41,41,3,Henrique & Juliano
72,spotify:track:0qxLQ6opocOGyFnlXqJ53x,Bipolar,55,57,4,Mc Davi
73,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),51,67,4,The Kid LAROI
74,spotify:track:3Wrjm47oTz2sjIgck11l5e,Beggin',56,62,4,Måneskin
75,spotify:track:5fY9bVl1Wj4PIM3wnduWop,Serenata - Ao Vivo,75,—,1,Marília Mendonça
76,spotify:track:7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,66,69,4,Elton John
77,spotify:track:0NvVVP3Q0oSbfBUZ48vCHs,Tiffany,77,—,1,MD Chefe
78,spotify:track:142YjJNOuXjzeSDnB1ujw1,Sua amiga deu,53,54,4,MC Levin
79,spotify:track:4UANYptjv2kpV6IY7IjXoJ,Bem Pior Que Eu - Ao Vivo,79,—,1,Marília Mendonça
80,spotify:track:2xebCnKCjYWBhJ4Ai8hO5E,Set dos Casados,73,73,3,Mc Davi
81,spotify:track:1d7AtPeraWVsvI4U1YTHt1,Vestido Coladinho,60,60,3,Max e Luan
82,spotify:track:4gvrJnKCKIPiacNsWVQwEU,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,61,64,4,CKay
83,spotify:track:0EZuXcsnjEmGuRYdFdcctX,Sem Sal - Ao Vivo,83,—,1,Marília Mendonça
84,spotify:track:1jwEnLN5hMOwotwXfchUaf,Rei Lacoste,80,88,4,MD Chefe
85,spotify:track:6RMYuqlTn8777j5arY9zhC,Cena de Amor,59,63,4,Brisa Star
86,spotify:track:0wcAfve621R8p3sTQjjJXA,O Porte da 40,72,74,4,Mc Frog
87,spotify:track:2BRGOqLBHFJclDM6PB2dnd,Deprê,87,—,1,Marília Mendonça
88,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,38,76,4,Adele
89,spotify:track:6P8v1a8jyfwG5kc7Si1kUp,Amante Não Tem Lar - Ao Vivo,89,—,1,Marília Mendonça
90,spotify:track:7Ls0AYtBWAJtt7iORFc6zC,Não Quer Chifre,45,68,4,Mc Frog
91,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Supera - Ao Vivo,91,—,1,Marília Mendonça
92,spotify:track:3ibiPPqHxdmX4nNp4kNHE9,Passatempo,43,75,4,Wesley Safadão
93,spotify:track:1qxuVUQPbhbp4jDXaN8fJT,Vida Toda - Spotify Singles,61,77,4,L7NNON
94,spotify:track:4quGxX3KhLaPARJ6TAJO5o,melhor sozinha :-)-:,94,—,1,Luísa Sonza
95,spotify:track:68qqVn5kHBv4zc45SDGLnh,Corte Americano,79,95,4,Filipe Ret
96,spotify:track:4Y8rBzQ0mkx3ALVso3n2ip,Vê Se Pode,59,59,2,MC Levin
97,spotify:track:78APwJSo30uWBB5PWROMNw,Para de Me Chamar Pra Trair,97,—,1,Marília Mendonça
98,spotify:track:0rUL7vUZmCKxB0gS83W3aM,Apaixonadinha - Ao Vivo,98,—,1,Marília Mendonça
99,spotify:track:2Gvn46nwyQhUnQiFhlP7WX,Como Faz Com Ela - Ao Vivo,99,—,1,Marília Mendonça
100,spotify:track:77rIMl1WIrLf4ZDKFYZ4ji,Água Nos Zói - Ao Vivo,79,79,2,Clayton & Romário
