rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,2,4,Gustavo Mioto
2,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,1,1,14,Mc Paiva ZS
3,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,2,3,17,Guilherme & Benuto
4,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,3,4,8,Guilherme & Benuto
5,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,5,6,7,Diego & Victor Hugo
6,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,6,7,11,Jorge & Mateus
7,spotify:track:2orGm2E68ODFYOURjaES62,Felina,7,15,4,WIU
8,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,4,8,5,Pineapple StormTv
9,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,9,37,2,Gusttavo Lima
10,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,5,18,L7NNON
11,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,3,14,40,Hugo & Guilherme
12,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,1,10,19,Ana Castela
13,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,1,12,18,MC Tairon
14,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,1,16,29,Matheus Fernandes
15,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,2,11,14,Mc Jacaré
16,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,6,13,11,DJ AK BR
17,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),17,25,4,Sam Smith
18,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,8,21,24,Jorge & Mateus
