rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,1,8,MC Kevin o Chris
2,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,2,17,2,Luísa Sonza
3,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,3,3,10,Ana Castela
4,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,4,21,3,Luan Pereira
5,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,4,4,27,Grupo Menos É Mais
6,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,2,16,DENNIS
7,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,1,5,12,Mc Livinho
8,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,7,32,AgroPlay
9,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,6,8,9,Vulgo FK
10,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,5,6,11,Luan Pereira
11,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,2,12,28,Israel & Rodolffo
12,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,10,10,9,Gusttavo Lima
13,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,13,32,Simone Mendes
14,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,9,11,6,Felipe Amorim
15,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,15,16,12,Zé Neto & Cristiano
16,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,5,18,31,Guilherme & Benuto
17,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",3,15,13,Mc Pedrinho
18,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,5,14,17,Veigh
19,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,15,20,6,Felipe Amorim
20,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,14,19,14,Luan Santana
21,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,20,22,18,Guilherme & Benuto
22,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,22,40,2,Gusttavo Lima
23,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",21,28,12,Melody
24,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,4,27,32,Henrique & Juliano
25,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,13,23,11,Kadu Martins
26,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",25,25,4,Mc IG
27,spotify:track:0t5cfOZxePTvuYXTywHzjH,Penhasco2,9,9,3,Luísa Sonza
28,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,28,32,12,Diego & Victor Hugo
29,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,31,39,Marília Mendonça
30,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,6,33,32,Matheus & Kauan
31,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,11,37,34,Gustavo Mioto
32,spotify:track:2nfnhFDhwMet9yZodpGfn3,AMBIENTE ERRADO - Ao Vivo,28,30,5,Luan Santana
33,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",8,29,12,Dyamante DJ
34,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),34,42,3,Ana Castela
35,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,32,39,7,Gusttavo Lima
36,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,36,54,9,Zé Neto & Cristiano
37,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,26,38,19,Zé Neto & Cristiano
38,spotify:track:2exu569k07hUulN9CoPnMH,Campo De Morango,24,24,4,Luísa Sonza
39,spotify:track:0WrM1ON5poAsmKw3x5uPhD,Narcisista - Ao Vivo,36,36,9,Maiara & Maraisa
40,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,29,35,8,GORDÃO DO PC
41,spotify:track:3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,12,41,26,Luan Pereira
42,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,4,26,30,Zé Neto & Cristiano
43,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,10,43,24,KayBlack
44,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,40,45,15,Israel & Rodolffo
45,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,34,34,2,Luísa Sonza
46,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,35,46,14,Hugo & Guilherme
47,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,47,55,4,Henrique & Juliano
48,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,43,49,12,Murilo Huff
49,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,23,51,31,NATTAN
50,spotify:track:1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,14,50,27,Clayton & Romário
51,spotify:track:77BR4gaUAp3p0uA8UL6HT9,Não Para,27,53,27,Belle Kaffer
52,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,24,48,17,Veigh
53,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),2,60,20,Matuê
54,spotify:track:5vdQUAFncALEH9EQvyAqIX,Forte Forte de Lacoste - Pra Começar o Final de Semana,26,52,13,DJ Jeeh FDC
55,spotify:track:156LKAN2oh16qflL5oz4tO,Os Bico Tão Se Perguntando (Let’s Go 3),12,57,22,MC PH
56,spotify:track:745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,17,59,17,MC Guh SR
57,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,2,56,18,MC Caverinha
58,spotify:track:5eID9KNVJV2fDSPQGzQHQg,Oficializar - Ao Vivo,58,66,3,Gusttavo Lima
59,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,11,64,24,Hugo & Guilherme
60,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,1,63,45,Israel & Rodolffo
61,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,19,62,20,MC Kevin o Chris
62,spotify:track:5qjwjBzWAxXjjqinjENzIF,Dói,55,61,6,Jorge & Mateus
63,spotify:track:24LGL93o3wuVuYLCBhV3c5,Principalmente Me Sinto Arrasada,44,44,3,Luísa Sonza
64,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,67,51,Gustavo Mioto
65,spotify:track:4AKsSRxe6z6woOAsXr5gVA,Coração na Geladeira 2,65,68,6,Mc Kevin
66,spotify:track:22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,4,70,31,MC Xenon
