rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,1,6,Felipe Amorim
2,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,2,9,Matheus Fernandes
3,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,3,7,Davi Kneip
4,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,4,5,Matuê
5,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,1,5,13,MC Rogerinho
6,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,6,12,PEDRO SAMPAIO
7,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,7,7,5,Teto
8,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,8,14,Zé Felipe
9,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),9,10,4,L7NNON
10,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,32,3,MC Rogerinho
11,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,11,11,5,Harry Styles
12,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,9,17,Anitta
13,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,12,20,Xamã
14,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,7,14,22,Wesley Safadão
15,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,7,13,16,Hugo & Guilherme
16,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,4,15,15,Dj Guuga
17,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,17,25,Mari Fernandez
18,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,16,16,5,Gusttavo Lima
19,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,19,25,3,Luan Santana
20,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,20,31,5,NATTAN
21,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,18,16,Chefin
22,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,6,20,25,George Henrique & Rodrigo
23,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,20,23,10,Pineapple StormTv
24,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,7,19,12,Gloria Groove
25,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,20,27,21,Jorge & Mateus
26,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,24,25,Zé Felipe
27,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,8,21,12,Luísa Sonza
28,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,9,29,18,Mc Don Juan
29,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,14,22,13,Luan Santana
30,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,20,28,29,Henrique & Juliano
31,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,24,26,18,Matuê
32,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,30,29,Marília Mendonça
33,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,33,73,2,Mari Fernandez
34,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,32,34,21,Mc Poze do Rodo
35,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,35,80,2,Mc Delux
36,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,33,33,5,Mc Gabzin
37,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,37,42,7,Leo Santana
38,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),38,—,1,Anitta
39,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,6,36,29,Henrique & Juliano
40,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,9,37,23,Gusttavo Lima
41,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,39,39,10,Zé Neto & Cristiano
42,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,11,38,29,Matuê
43,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,40,21,DJ Matt D
