rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,4,3,Felipe Amorim
2,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,1,4,Davi Kneip
3,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,12,2,Matuê
4,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,4,8,6,Matheus Fernandes
5,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,3,9,PEDRO SAMPAIO
6,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,2,14,Anitta
7,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,1,5,10,MC Rogerinho
8,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,6,11,Zé Felipe
9,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,9,9,2,Teto
10,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,7,17,Xamã
11,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,7,10,13,Hugo & Guilherme
12,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,7,15,19,Wesley Safadão
13,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,13,18,2,Harry Styles
14,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,4,16,12,Dj Guuga
15,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,14,22,Mari Fernandez
16,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,13,13,Chefin
17,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,7,11,9,Gloria Groove
18,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,14,19,10,Luan Santana
19,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,8,17,9,Luísa Sonza
20,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,20,22,Zé Felipe
21,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",18,23,7,Vulgo FK
22,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,20,24,18,Jorge & Mateus
23,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,22,26,Marília Mendonça
24,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,9,21,20,Gusttavo Lima
25,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,9,27,15,Mc Don Juan
26,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,6,25,22,George Henrique & Rodrigo
27,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,20,26,7,Pineapple StormTv
28,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,20,30,26,Henrique & Juliano
29,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,28,18,DJ Matt D
