rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,1,17,Mari Fernandez
2,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,2,9,L7NNON
3,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,2,3,5,Nivaldo Marques
4,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,3,4,5,Luísa Sonza
5,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,6,24,Matheus Fernandes
6,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,2,7,15,João Gomes
7,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,7,18,3,Felipe Amorim
8,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,8,8,7,Ana Castela
9,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,5,9,Zé Felipe
10,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,9,21,Felipe Amorim
11,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,10,4,Marília Mendonça
12,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,11,18,MC Rogerinho
13,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,12,22,Leo Santana
14,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,13,20,Matuê
15,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,15,19,10,Mari Fernandez
16,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,16,16,3,Mc Jacaré
17,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,17,—,1,Luan Santana
18,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,17,22,Davi Kneip
19,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,10,15,13,Wesley Safadão
20,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,11,14,8,MC Tairon
21,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,21,25,7,NATTAN
22,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,22,46,2,DJ AK BR
23,spotify:track:4NFkcqZ3jU2O9rgEbuluVn,Bafora o Lança - Remix,23,84,2,Mario Mc
24,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,24,35,6,Guilherme & Benuto
25,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,8,23,20,Harry Styles
26,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,17,20,6,Gusttavo Lima
27,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,20,21,6,Kadu Martins
28,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,21,22,5,MC Kevin o Chris
29,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,9,26,10,Baco Exu do Blues
30,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,7,24,37,Wesley Safadão
