rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,1,19,Mari Fernandez
2,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,2,6,5,Felipe Amorim
3,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,2,11,L7NNON
4,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,4,5,9,Ana Castela
5,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,2,3,7,Nivaldo Marques
6,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,2,8,17,João Gomes
7,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,7,26,Matheus Fernandes
8,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,8,21,4,Mc Paiva ZS
9,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,3,4,7,Luísa Sonza
10,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,10,12,3,Luan Santana
11,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,10,23,Felipe Amorim
12,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,11,6,Marília Mendonça
13,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,14,22,Matuê
14,spotify:track:4NFkcqZ3jU2O9rgEbuluVn,Bafora o Lança - Remix,9,9,4,Mario Mc
15,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,15,20,MC Rogerinho
16,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,13,11,Zé Felipe
17,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,17,19,4,DJ AK BR
18,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,16,16,5,Mc Jacaré
19,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,8,26,22,Harry Styles
20,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,20,20,8,Guilherme & Benuto
21,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,18,24,Leo Santana
22,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,17,24,Davi Kneip
23,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,11,22,10,MC Tairon
24,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,21,25,7,MC Kevin o Chris
25,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,15,23,12,Mari Fernandez
26,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,10,24,15,Wesley Safadão
27,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,17,30,8,Gusttavo Lima
28,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,21,29,9,NATTAN
29,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,7,35,33,Hugo & Guilherme
30,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,30,33,10,MC Cabelinho
