rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,1,1,12,Dj GBR
2,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,1,2,10,Manu
3,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,3,20,Felipe Amorim
4,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,4,5,7,Tropa do Bruxo
5,spotify:track:6zLBR9izBeZ1d0pfuwJgRa,Tipo Hollywood,5,17,3,Mc Ws da leste
6,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,4,38,Grupo Menos É Mais
7,spotify:track:7GjAXYuxjuXPbQJzRnNdob,Pane no Sistema,5,6,7,GREGO
8,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,10,49,NATTAN
9,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,7,7,27,Guilherme & Benuto
10,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,2,9,19,Felipe Amorim
11,spotify:track:7dKqPh21HpsysZvRWyNeM1,Bênçãos Que Não Têm Fim (Counting My Blessings),11,19,3,Isadora Pompeo
12,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,14,29,Veigh
13,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,7,8,10,Simone Mendes
14,spotify:track:2twZl1jsRbJRTNCE6VB6eW,10 Carros,14,54,2,Chefin
15,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,3,20,32,Eric Land
16,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),3,12,19,MC Kevin o Chris
17,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,7,11,15,MC Rogerinho
18,spotify:track:1GOS5OIo4KywJF7Fw9QR4E,A Gente Se Entrega,18,23,8,NATTAN
19,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,13,13,12,Zé Neto & Cristiano
20,spotify:track:0wuj2T6IZtotux1Jjluo7m,Cama Repetida,20,36,3,Leo Santana
21,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,12,16,13,Gusttavo Lima
22,spotify:track:2cZ62VBKsdZ7u1kKKJdFOc,Sou Musa do Verão,11,15,5,Marshmello
23,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,2,28,43,Simone Mendes
24,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,27,52,Marília Mendonça
25,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,8,26,21,Vulgo FK
26,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,11,21,14,Luan Pereira
27,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,22,28,DENNIS
28,spotify:track:5nnnNbMarkWKkAzZhVG3Bh,Literalmente,28,35,3,Tarcísio do Acordeon
