rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,1,8,Xamã
2,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,24,2,Zé Felipe
3,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,4,13,Mari Fernandez
4,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,2,4,Chefin
5,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,3,13,Zé Felipe
6,spotify:track:1c4htMHiolERc0YJvZNdlc,Vai Lá Em Casa Hoje,6,6,13,George Henrique & Rodrigo
7,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,7,7,10,Wesley Safadão
8,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,8,10,4,Hugo & Guilherme
9,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,9,23,3,Dj Guuga
10,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,3,5,17,PEDRO SAMPAIO
11,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,1,11,16,Paulo Pires
12,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,8,9,DJ Matt D
13,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,9,17,Marília Mendonça
14,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,14,16,6,Mc Don Juan
15,spotify:track:35COLcFjvONwVv6jkG23gI,Boys Don't Cry,12,12,2,Anitta
16,spotify:track:7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,13,13,9,Anitta
17,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,9,14,11,Gusttavo Lima
18,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,6,15,14,Marília Mendonça
19,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,19,28,4,Jão
