rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,6,Marília Mendonça
2,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,5,7,WIU
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,4,17,Gustavo Mioto
4,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,2,11,MC MENOR HR
5,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),1,3,12,Kadu Martins
6,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,6,9,10,Israel & Rodolffo
7,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,7,—,1,Miley Cyrus
8,spotify:track:2orGm2E68ODFYOURjaES62,Felina,4,6,17,WIU
9,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,8,8,5,MC K.K
10,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),10,11,4,Luísa Sonza
11,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,9,12,8,Zé Felipe
12,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,12,17,7,Anitta
13,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,7,39,Mari Fernandez
14,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,8,10,11,Orochi
15,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,15,66,2,Mc Tato
16,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,16,42,2,DJ Jeeh FDC
17,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,2,13,25,Felipe Amorim
18,spotify:track:6qPCDdlx08sKOnlLKZW6h0,Me Evita Mais,18,80,2,Henry Freitas
19,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,8,15,28,Guilherme & Benuto
