rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2K9kZpwD2CzTa6iiSYYOoO,Leão,1,1,8,Marília Mendonça
2,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,2,9,WIU
3,spotify:track:0yLdNVWF3Srea0uzk55zFn,Flowers,3,3,3,Miley Cyrus
4,spotify:track:4PQ5AInr4YoBauth9YPduL,Ai Papai,4,6,9,Anitta
5,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,5,19,Gustavo Mioto
6,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),1,4,14,Kadu Martins
7,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,7,13,5,NATTAN
8,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,6,9,12,Israel & Rodolffo
9,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,7,13,MC MENOR HR
10,spotify:track:2orGm2E68ODFYOURjaES62,Felina,4,11,19,WIU
11,spotify:track:4mD9hjoTckjeL1CrJCx0MT,Puta Mexicana,8,8,4,DJ Jeeh FDC
12,spotify:track:29adI8c6c75mnnaJ3BFLID,Parecia Tempestade,12,26,5,Sony no Beat
13,spotify:track:2m6ZDDrTvDQtKbwNFyI3r5,MAMA.CITA (hasta la vista),10,12,6,Luísa Sonza
14,spotify:track:6Hio4nlyWL2WBL8nYlbuGt,Agudo Mágico 3,8,10,7,MC K.K
15,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,2,17,27,Felipe Amorim
16,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,9,14,10,Zé Felipe
17,spotify:track:6eNRGL6Nkdg7RhJtmbcl0j,Luz do Luar,15,16,4,Mc Tato
18,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,15,41,Mari Fernandez
19,spotify:track:5geU4byUA1hnQofQPOsPDS,Sereia,8,18,13,Orochi
20,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,20,30,4,Matheus Fernandes
21,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,6,20,22,Guilherme & Benuto
22,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,22,—,1,Leo Santana
23,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,22,20,Pineapple StormTv
24,spotify:track:7CIj5SFTB6WPJrYjLZN5bp,Pega o Guanabara - Ao Vivo,21,21,17,Wesley Safadão
25,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,8,19,30,Guilherme & Benuto
26,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,15,27,15,Matheus & Kauan
27,spotify:track:3DNhR7P04alm9S4JA6Llvg,Mó Viagem,13,31,10,Felipe Amorim
28,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,4,29,26,Mc Paiva ZS
29,spotify:track:3xCkNUiap7EBjqnRldHSSh,Coladin (Minha Deusa),23,23,7,Zé Vaqueiro
30,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",24,24,3,Bizarrap
31,spotify:track:52EYWdjiulHaehpexuowyh,FOGO E GASOLINA,25,25,6,MC Cabelinho
32,spotify:track:4pzRxLzkLjnqnrOL0VMV5w,Não Fosse Tão Tarde - Ao Vivo,12,28,17,Wesley Safadão
33,spotify:track:6qPCDdlx08sKOnlLKZW6h0,Me Evita Mais,18,38,4,Henry Freitas
34,spotify:track:1ACALdBWViTpLBC14Ecv8E,Namora Aí,28,35,7,MC Ryan SP
35,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,8,33,44,Harry Styles
36,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,2,41,39,João Gomes
37,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,34,48,Matheus Fernandes
38,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,18,45,24,Jorge & Mateus
39,spotify:track:7nwHsYxiuHo98dLI7UVkyn,A Culpa É Nossa - Ao Vivo,39,51,6,Maiara & Maraisa
40,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,27,60,12,Yago Oproprio
41,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),7,36,19,Sam Smith
42,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,39,28,Marília Mendonça
43,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,40,33,L7NNON
44,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,6,37,17,Dj LK da Escócia
45,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,53,44,Matuê
46,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,Toma Tapa,46,52,5,Mc Jacaré
47,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,32,32,4,SZA
48,spotify:track:57AFq4IQx7NRSsxmhb8YZz,Conduta - Ao Vivo,28,43,7,NATTAN
49,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,20,50,32,MC Cabelinho
50,spotify:track:7G2LNG0EDgU5IyeeP6pevW,Pode Apostar - Ao Vivo,27,48,34,Mari Fernandez
51,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,51,—,1,Teto
52,spotify:track:2rtsT3CefzKc05JdAm8aQ5,Digo ou Não Digo - Ao Vivo,34,54,16,João Gomes
53,spotify:track:4r2O8NHomHiJnFKqhYnqy1,Perdoou Nada - Ao Vivo,46,46,8,Israel & Rodolffo
54,spotify:track:7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,54,61,4,Ana Castela
55,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,19,62,33,Felipe Amorim
56,spotify:track:1JzMOnuyabzpRuSudDD4Cq,Brinca Demais,35,64,9,WIU
57,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,47,45,Felipe Amorim
58,spotify:track:0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,58,—,1,Luan Santana
59,spotify:track:5o4VK4Qe5QwXHrvUPoaGHy,A Caminho do Bega [Piseiro Remix] (feat. Dj Mizzontti),56,56,6,DJ Patrick Muniz
60,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,26,65,18,MC Cabelinho
61,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,67,46,Leo Santana
62,spotify:track:0fh0wmLoyP5BevFSe3UMdm,Beijo pra Jogo - Ao Vivo,62,—,1,Tarcísio do Acordeon
63,spotify:track:0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,63,—,1,Naiara Azevedo
64,spotify:track:2YAOJkRWy382bRMXaj48FP,Esse B.O é Meu - Ao Vivo,42,49,7,Guilherme & Benuto
65,spotify:track:4kAMyuJBbmJrbr6TLOWbEk,Beijo de Glicose - Ao Vivo,16,59,19,Diego & Victor Hugo
66,spotify:track:52kcarcX0FQ6wPulXm2bMJ,Meca Cereja,58,58,3,Vulgo FK
67,spotify:track:5t7E1z1kVtHyPxWNmUtXN4,Te Love - Ao Vivo,14,63,19,Kevi Jonny
68,spotify:track:3C99BfGe301JNp7BqTX5Uu,Média Boa - Ao Vivo,35,55,8,Felipe e Rodrigo
69,spotify:track:7oodfOYg0KH2LtjM0FBgb7,Mantenha Distância,49,80,2,Henry Freitas
70,spotify:track:1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,70,—,1,Gustavo Mioto
71,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),44,68,20,David Guetta
72,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,4,69,31,Ana Castela
73,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,7,44,55,Hugo & Guilherme
74,spotify:track:7zuRphSG633kVAgopDVdHY,"Te Amar, Te Amar",51,74,12,Iguinho e Lulinha
75,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,86,13,Marília Mendonça
76,spotify:track:3OWbJjQTOTUvU6jpVoKR9R,Vaqueira,57,57,7,Eric Land
77,spotify:track:0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),75,75,5,Rema
78,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,20,71,44,NATTAN
79,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,55,73,24,Murilo Huff
80,spotify:track:51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,80,—,1,Gusttavo Lima
81,spotify:track:3rTg5u0gjZVZW8OGphOlcU,Vida - Ao Vivo,70,70,3,Matheus Fernandes
82,spotify:track:2X5o4nRiocnoaaQ2wMwaeC,Sorrisin De Puto,82,—,1,DJ Cayoo
83,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,16,72,31,NATTAN
84,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,23,78,38,Jorge & Mateus
85,spotify:track:5gitknsNQkrsCwfIbWK8Kd,PLAYGROUND,42,42,3,Vivi
86,spotify:track:1ZJZQlHYELgPeGe0EQPYWZ,Quando Tem Sentimento,77,77,3,Mari Fernandez
87,spotify:track:2bWVxK5GlPtS4D3FcLjGgQ,Cara da Derrota - Ao Vivo,87,—,1,Gusttavo Lima
88,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,22,76,39,Mari Fernandez
89,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,36,79,22,Matheus & Kauan
90,spotify:track:4m8kG46clzxMxyrDuFo1Uq,Horas Iguais,75,99,3,WIU
91,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,44,88,5,Beyoncé
92,spotify:track:5FNdfRpHs4u5vto9YdY3ft,Eu Já Tava Bem - Ao Vivo,7,89,61,Wesley Safadão
93,spotify:track:0D0GhRImBnK6sV2iMBLQAP,Cão Sem Dono,34,87,18,Mari Fernandez
