rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,1,15,Mari Fernandez
2,spotify:track:1rJFFWDXrlMS0C5JlbqFbI,Tem Cabaré Essa Noite,2,2,3,Nivaldo Marques
3,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,3,3,3,Luísa Sonza
4,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,3,5,7,L7NNON
5,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,4,7,Zé Felipe
6,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,2,6,13,João Gomes
7,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,7,22,Matheus Fernandes
8,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,10,2,Marília Mendonça
9,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,9,9,5,Ana Castela
10,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,8,19,Felipe Amorim
11,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,11,16,MC Rogerinho
12,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,14,20,Leo Santana
13,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,10,12,11,Wesley Safadão
14,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,11,15,6,MC Tairon
15,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,13,20,Davi Kneip
16,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,16,18,Matuê
17,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,17,17,4,Gusttavo Lima
18,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,18,21,8,Mari Fernandez
19,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,18,38,Mari Fernandez
20,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,20,24,4,Kadu Martins
21,spotify:track:4m1mqQuy34Nzh0480VR364,Incendeia,21,28,3,MC Kevin o Chris
22,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,7,20,35,Wesley Safadão
23,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,23,36,12,Jorge & Mateus
24,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,8,22,18,Harry Styles
25,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,10,19,10,Mc Don Juan
26,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,26,—,1,Felipe Amorim
27,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,9,25,8,Baco Exu do Blues
28,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,7,23,29,Hugo & Guilherme
29,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,20,27,18,NATTAN
30,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,30,38,5,NATTAN
31,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,31,18,Teto
32,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,12,32,18,Gusttavo Lima
33,spotify:track:7G2LNG0EDgU5IyeeP6pevW,Pode Apostar - Ao Vivo,31,41,8,Mari Fernandez
34,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,12,29,16,Luan Santana
35,spotify:track:5ildQOEKmJuWGl2vRkFdYc,DESPECHÁ,35,—,1,ROSALÍA
36,spotify:track:1Hohk6AufHZOrrhMXZppax,ALIEN SUPERSTAR,36,—,1,Beyoncé
37,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,37,—,1,Mc Jacaré
38,spotify:track:4GF7CEf70lzZQwdYaiiCpY,Para de Me Assistir - Ao Vivo,36,40,7,Mari Fernandez
39,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,BREAK MY SOUL,39,—,1,Beyoncé
40,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,15,34,12,O Tubarão
41,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,19,39,15,MC Braz
42,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,35,25,PEDRO SAMPAIO
43,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,43,52,4,Guilherme & Benuto
44,spotify:track:3QxKHcpNt6CWNUYCLLBHeZ,Escolhe o Bandido,42,42,4,MC CH da Z.O
45,spotify:track:3ZtHHGpAPSWC7Gnios4lmK,Metflix,45,87,2,Mc Poze do Rodo
46,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,33,27,Zé Felipe
47,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,47,—,1,Beyoncé
48,spotify:track:1RgJ4lexKGNBlKnyxB5SRt,Balazul,29,49,8,Teto
49,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,21,47,7,Felipe Amorim
50,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,1,44,26,MC Rogerinho
51,spotify:track:1veQa8YnXWP7YjpzTcCLY8,Hoje Eu Vou Te Usar,36,51,25,Mari Fernandez
52,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),13,43,10,Kate Bush
53,spotify:track:1MpCaOeUWhox2Fgigbe1cL,I'M THAT GIRL,53,—,1,Beyoncé
54,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,51,53,19,Matheus & Kauan
55,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,45,42,Marília Mendonça
56,spotify:track:0OpZrC2lgx4i6m41A2oTn9,Macetando,56,—,1,Wesley Safadão
57,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,2,48,12,Jovem Dionisio
58,spotify:track:2QGYWAcAiXFrZE8zCWQchU,Vai Doer Mais - Ao Vivo,39,56,7,Mari Fernandez
59,spotify:track:0mKGwFMHzTprtS2vpR3b6s,COZY,59,—,1,Beyoncé
60,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,6,50,38,George Henrique & Rodrigo
61,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,22,57,13,Mari Fernandez
62,spotify:track:0314PeD1sQNonfVWix3B2K,ENERGY (feat. Beam),62,—,1,Beyoncé
63,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,20,55,42,Henrique & Juliano
64,spotify:track:1YelLWAkrtiPYlCU56Zvs8,Diferente dos Diferentes,40,46,17,NATTAN
