rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,1,13,Felipe Amorim
2,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,2,3,7,João Gomes
3,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,2,16,Matheus Fernandes
4,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,4,4,9,Mari Fernandez
5,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,5,10,MC Rogerinho
6,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,6,14,Davi Kneip
7,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,7,12,Matuê
8,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,8,8,14,Leo Santana
9,spotify:track:6BF3nZQkAg9qvE0DLVSfyH,Hotel Caro,9,36,2,Baco Exu do Blues
10,spotify:track:6hFwju6M40CKovKBPu5IpY,ACORDA PEDRINHO,2,9,6,Jovem Dionisio
11,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,10,10,4,Mc Don Juan
12,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,7,12,29,Wesley Safadão
13,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,13,12,Teto
14,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,8,14,12,Harry Styles
15,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,11,19,PEDRO SAMPAIO
16,spotify:track:1ih3nbYJ0lugsku6065BC5,Me Chama de Amor - Arrochadeira Remix,15,17,6,O Tubarão
17,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,1,15,20,MC Rogerinho
18,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,19,21,Zé Felipe
19,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,18,32,Mari Fernandez
20,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),14,16,4,Kate Bush
21,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,21,—,1,Zé Felipe
22,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,7,20,23,Hugo & Guilherme
