rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,1,5,PEDRO SAMPAIO
2,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,3,13,Xamã
3,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,4,7,Zé Felipe
4,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,1,2,6,MC Rogerinho
5,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,4,5,8,Dj Guuga
6,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,6,9,Chefin
7,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,7,9,5,Gloria Groove
8,spotify:track:5719MEdRQcH4c3phXqX7WN,Mal Feito - Ao Vivo,7,10,9,Hugo & Guilherme
9,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,7,18,Mari Fernandez
10,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,8,18,Zé Felipe
11,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,11,15,5,Luísa Sonza
12,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,9,13,16,Gusttavo Lima
13,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,7,12,15,Wesley Safadão
14,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,9,11,11,Mc Don Juan
15,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,6,16,18,George Henrique & Rodrigo
16,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,16,24,6,Luan Santana
17,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,21,22,Marília Mendonça
18,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",18,25,3,Vulgo FK
19,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,Vontade De Morder,18,19,8,Simone & Simaria
20,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Envolver,20,48,10,Anitta
21,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,3,17,22,PEDRO SAMPAIO
22,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,20,20,3,Pineapple StormTv
23,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,1,23,21,Paulo Pires
24,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,18,14,DJ Matt D
