rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,1,5,Matuê
2,spotify:track:12YCtLHGk6tP6RbHDHflCs,Cartão Black,2,2,3,MC Caverinha
3,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,3,13,NATTAN
4,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,3,4,13,Simone Mendes
5,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,7,12,Israel & Rodolffo
6,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,5,6,13,AgroPlay
7,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,2,5,13,Marília Mendonça
8,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,3,8,13,WIU
9,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,2,10,9,Grandão Vaqueiro
10,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,10,22,2,Veigh
11,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,6,9,9,KayBlack
12,spotify:track:4sqpSDnTrbS8v7RMNCUyqS,Não Vitalício (Nunca Mais) - Ao Vivo,9,11,13,Matheus & Kauan
13,spotify:track:7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,5,12,13,MC Rogerinho
14,spotify:track:3mzbab4H0iZYkHggSEj0UX,Oi Balde - Ao Vivo,13,13,13,Zé Neto & Cristiano
15,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,14,14,11,Grupo Menos É Mais
16,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,7,15,8,Felipe Amorim
17,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,17,—,1,DENNIS
18,spotify:track:3khLpwuyIjEOw8vfJ1oUIT,Papin,18,24,5,MC Kevin o Chris
19,spotify:track:5TtTijiNYtFc6ktQARjY30,Preferida,15,17,8,KayBlack
20,spotify:track:0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,14,18,13,Henrique & Juliano
21,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,21,32,3,Felipe Amorim
22,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,10,19,13,Gustavo Mioto
23,spotify:track:7CJJ7JC3kj9XdweWTvfVhX,Vacilão,1,16,11,Zé Felipe
24,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,20,21,13,Guilherme & Benuto
25,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,25,44,2,Veigh
26,spotify:track:2kBbHpJTc7MWs8F3XhClBD,Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,7,26,13,Matheus Fernandes
27,spotify:track:0SCMVUZ21uYYB8cc0ScfbV,Bombonzinho - Ao Vivo,10,23,13,Israel & Rodolffo
28,spotify:track:7aOBf2xYbux3bo1fwISo6b,BEM MELHOR,28,29,4,MC Cabelinho
