rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,1,7,Felipe Amorim
2,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,2,10,Matheus Fernandes
3,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,4,6,Matuê
4,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,3,8,Davi Kneip
5,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,5,10,4,MC Rogerinho
6,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,7,6,Teto
7,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,1,6,13,PEDRO SAMPAIO
8,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,1,5,14,MC Rogerinho
9,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,2,8,15,Zé Felipe
10,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,10,11,6,Harry Styles
11,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,7,14,23,Wesley Safadão
12,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,12,18,6,Gusttavo Lima
13,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),9,9,5,L7NNON
14,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,12,18,Anitta
15,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,15,19,4,Luan Santana
16,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,1,13,21,Xamã
17,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,7,15,17,Hugo & Guilherme
18,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,17,26,Mari Fernandez
19,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,19,33,3,Mari Fernandez
20,spotify:track:71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra e YG),20,38,2,Anitta
21,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,4,16,16,Dj Guuga
22,spotify:track:5dFxhpYLOton7aawKsDeiS,Áudio Que Te Entrega,22,37,8,Leo Santana
23,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,20,20,6,NATTAN
24,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,20,25,22,Jorge & Mateus
25,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,14,29,14,Luan Santana
26,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,6,22,26,George Henrique & Rodrigo
27,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,9,28,19,Mc Don Juan
28,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,20,23,11,Pineapple StormTv
29,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,7,24,13,Gloria Groove
30,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,8,27,13,Luísa Sonza
31,spotify:track:6pojmlhRI1fBUNg0pZSA9M,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,31,35,3,Mc Delux
32,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,2,21,17,Chefin
33,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,20,30,30,Henrique & Juliano
34,spotify:track:2AQJRDfQJbfgmTf5e62Czl,Sem Dó,24,31,19,Matuê
35,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,33,36,6,Mc Gabzin
36,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,1,26,26,Zé Felipe
37,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,9,40,24,Gusttavo Lima
38,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,32,30,Marília Mendonça
39,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,6,39,30,Henrique & Juliano
40,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,32,34,22,Mc Poze do Rodo
41,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,41,47,3,MC Braz
42,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,39,41,11,Zé Neto & Cristiano
43,spotify:track:4PF5eA9ng97UcU5hjaqQnc,Meu Cafofo,43,53,8,João Gomes
44,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,11,42,30,Matuê
45,spotify:track:0p5QJ6nbkeKlNmrXzG8mF0,Digo Ou Não Digo,45,—,1,João Gomes
46,spotify:track:3v6gYFuAXQcm1EO5yW7yfX,Proteção de Tela,27,52,30,Tarcísio do Acordeon
47,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,6,43,22,DJ Matt D
48,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,54,30,João Gomes
49,spotify:track:1veQa8YnXWP7YjpzTcCLY8,Hoje Eu Vou Te Usar,41,50,13,Mari Fernandez
50,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,39,49,25,Henrique & Juliano
51,spotify:track:1QjKY3PM0O4lGPwElK9z7I,Sentada Desapegada,51,62,6,NATTAN
52,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,6,48,27,Marília Mendonça
53,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",18,44,11,Vulgo FK
54,spotify:track:6TjOL5UxzOVRSQU77Dvg4s,SAFADEZINHA,39,46,7,Felipe Amorim
55,spotify:track:1YelLWAkrtiPYlCU56Zvs8,Diferente dos Diferentes,55,63,5,NATTAN
56,spotify:track:75fCsUnTiDelE4HMd06t4O,Gostosinho Tu Cai,56,—,1,Mc Pepeu
57,spotify:track:722RHM8SwRteQuDH4Sg7Kr,Ama Eu,55,55,6,Felipe Amorim
58,spotify:track:6EDj1nbl9wo6ivGI1t59G4,Idiota,19,51,17,Jão
59,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,Se For Amor,8,70,30,João Gomes
60,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,60,—,1,João Gomes
61,spotify:track:3QKv1RIrWsLTA63oxscVrZ,Meu Bem,21,83,30,João Gomes
62,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,5,57,30,DG e Batidão Stronda
63,spotify:track:2XymTaHTrQWDEuSyhfZvqF,Antes,58,61,6,Matuê
64,spotify:track:3ua3rqwBNmeGeQfcKnA3bT,Groupies,26,58,10,Doode
