rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1597vvneWf0zoQrg2D8yH6,Evoque Prata,1,2,4,MC MENOR HR
2,spotify:track:0oB3IBEhbmgTrL7mV0VnFq,Novinha do Onlyfans (Tchan Ran Tchan Tchan),2,3,5,Kadu Martins
3,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,1,10,Gustavo Mioto
4,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,1,4,32,Mari Fernandez
5,spotify:track:2orGm2E68ODFYOURjaES62,Felina,4,6,10,WIU
6,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,2,5,18,Felipe Amorim
7,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,4,7,17,Mc Paiva ZS
9,spotify:track:77UrDaIQq6JZIJWeLgJaRf,Sereia,9,16,4,Orochi
10,spotify:track:4UldILPVpnZO69ffK4B9aA,Tubarão Te Amo,9,9,8,Dj LK da Escócia
11,spotify:track:7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,1,8,11,Pineapple StormTv
12,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,8,11,21,Guilherme & Benuto
13,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,6,12,13,Guilherme & Benuto
14,spotify:track:4o6v3Oooyt7HF20idztRD4,Bombonzinho - Ao Vivo,11,15,3,Israel & Rodolffo
15,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,2,14,39,Matheus Fernandes
16,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,2,13,24,L7NNON
17,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,19,36,Felipe Amorim
18,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,2,20,30,João Gomes
19,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),7,17,10,Sam Smith
20,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,15,18,6,Matheus & Kauan
21,spotify:track:6TnCI16uLWhyQCrHva9VWj,Te Love - Ao Vivo,14,21,10,Kevi Jonny
22,spotify:track:0dcHD9QhnWRA41zoLnC83X,X1,21,25,23,MC Cabelinho
23,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,27,35,Matuê
24,spotify:track:3QXBOJvtqhMcFR3ZPfyRQ4,Não Fosse Tão Tarde - Ao Vivo,23,23,8,Wesley Safadão
25,spotify:track:3JHIuBa3hDJk3DQ9m6xFrp,Pelado,16,22,22,NATTAN
26,spotify:track:4pjznsLeoyimnxGlVpmyJI,NÉ SEGREDO,26,31,9,MC Cabelinho
27,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,8,34,35,Harry Styles
28,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,6,29,37,Leo Santana
29,spotify:track:3lQnTQFBxk1HMsj8aa4syY,Virando o Olhinho,20,26,21,Kadu Martins
30,spotify:track:6gyhp7IcNhTYzwlk8utsgP,Beijo de Glicose - Ao Vivo,16,24,10,Diego & Victor Hugo
31,spotify:track:4nRa5qkXIfswPbt20rkslI,Debaixo do Cobertor,19,32,24,Felipe Amorim
32,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,4,28,33,MC Rogerinho
33,spotify:track:7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,19,30,8,Gusttavo Lima
34,spotify:track:2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,34,—,1,Zé Felipe
35,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,18,35,15,Jorge & Mateus
36,spotify:track:63q5Qb9ERTpapEmARxKBE6,Pega o Guanabara - Ao Vivo,29,33,8,Wesley Safadão
37,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,4,39,22,Ana Castela
38,spotify:track:7G2LNG0EDgU5IyeeP6pevW,Pode Apostar - Ao Vivo,31,37,25,Mari Fernandez
39,spotify:track:5DoYLtsVnNMcrgpMdEPOsI,É Só Um Lance Lero Lero,39,99,2,DJ Dozabri
40,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,7,42,46,Hugo & Guilherme
41,spotify:track:40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,22,41,30,Mari Fernandez
42,spotify:track:6o6PKPQH9c6egl0VROLpLN,P Q P,20,36,35,NATTAN
43,spotify:track:5wAoMzm5LaIvGED0JNeBfY,Cão Sem Dono,34,40,9,Mari Fernandez
44,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,44,47,3,Yago Oproprio
45,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,8,44,19,Marília Mendonça
46,spotify:track:1JIKO27MqvSpjrnUCT6fLC,A Caminho do Bega,46,52,3,DJ Patrick Muniz
47,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,2,38,20,Nivaldo Marques
48,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,11,46,23,MC Tairon
49,spotify:track:5cCwZJUf8QiCQGnyakhpmF,Papo de Agustinho,49,53,6,Oruam
50,spotify:track:2rtsT3CefzKc05JdAm8aQ5,Digo ou Não Digo - Ao Vivo,48,48,7,João Gomes
51,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,44,51,9,Beyoncé
52,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,11,43,17,DJ AK BR
53,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,1,60,37,Davi Kneip
54,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,40,54,16,Mc Paiva ZS
55,spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,7,49,6,Taylor Swift
56,spotify:track:7bh2ybqXcEoIYL8FwiAMou,Intuição - Ao Vivo,15,56,25,Mari Fernandez
57,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,23,55,29,Jorge & Mateus
58,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,16,50,18,Mc Jacaré
59,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,6,72,35,Teto
60,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,2,62,55,Mari Fernandez
61,spotify:track:3gx9a8ea1nI0Wym9hJpdbJ,Hino dos Mlks,61,92,3,BIN
62,spotify:track:5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,62,73,8,Arctic Monkeys
63,spotify:track:58VUikMywNpRelwEx8khdh,Mel do Egito,60,65,7,Leandro e as Abusadas
64,spotify:track:3DNhR7P04alm9S4JA6Llvg,Mó Viagem,64,—,1,Felipe Amorim
65,spotify:track:5IgjP7X4th6nMNDh4akUHb,Under The Influence,63,67,11,Chris Brown
66,spotify:track:2XaEn8iznBz9ZE9YJqJdQ6,Revoada do Tubarão 3,66,—,1,MC Ryan SP
67,spotify:track:3TIb3AjhRWnxQGQEcFmgDL,Tu Tava Na Revoada - Ao Vivo,10,45,28,Wesley Safadão
68,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),44,59,11,David Guetta
69,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,36,58,13,Matheus & Kauan
70,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,55,64,15,Murilo Huff
71,spotify:track:1YelLWAkrtiPYlCU56Zvs8,Diferente dos Diferentes,40,57,34,NATTAN
72,spotify:track:57nvtO3EJuh6zuB67R3QeF,Frio e Calculista,72,74,3,Mc Poze do Rodo
73,spotify:track:4NWqFtTU1wnvlsU7XjeIGM,Mina Sensação,52,69,5,Deavele Santos
74,spotify:track:2SOeAhvJfh7HsGYPVtGG8H,Aqui Na Parma Tu Vem Pra Fuder,56,61,5,DJ CIRILO DE CAXIAS
75,spotify:track:7zuRphSG633kVAgopDVdHY,"Te Amar, Te Amar",75,84,3,Iguinho e Lulinha
76,spotify:track:7oodfOYg0KH2LtjM0FBgb7,Mantenha Distância,56,76,8,Henry Freitas
77,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,3,81,20,Luísa Sonza
78,spotify:track:2fNQKieH5Vla2RT50hn9tV,Agora é Pra Valer - Ao Vivo,68,68,2,Wesley Safadão
79,spotify:track:7uWbLSH88a5oNqZrbkTLxN,Deixa Eu Te Superar,51,79,13,Tarcísio do Acordeon
80,spotify:track:4gwVRLnHG5P6aOSRWiA052,Agora é Pra Valer,66,66,5,NATTAN
81,spotify:track:13Rf6RaZT13TW4xLQR3MQr,Poesia Acústica #6: Era uma Vez,60,97,17,Pineapple StormTv
