rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2RGIuYTsyyHoOCqW0krvNE,Coração Cachorro,1,1,3,Avine Vinny
2,spotify:track:2jwrYBGz7osKI31v50bS7b,Putariazinha,2,2,3,Felipe Amorim
3,spotify:track:4kGdnA7FzSVsXC29LPghej,Revoada No Colchão,3,3,3,Zé Felipe
4,spotify:track:2kJRlOyrxsy7Ot3c5TZ8Q6,Meu Pedaço de Pecado,2,4,3,João Gomes
5,spotify:track:4XiFqfUXyTwOChvMLKKi0T,Sem Sentimento,5,5,3,DG e Batidão Stronda
6,spotify:track:2wG1R0uDFwyobcWzVssC1J,GALOPA,6,9,3,PEDRO SAMPAIO
7,spotify:track:50gPsfGHy5OnPauA9455DM,Rolê,7,7,3,Tarcísio do Acordeon
8,spotify:track:4u06FbRh6FvV2FQZkouzCw,Arranhão - Ao Vivo,6,6,3,Henrique & Juliano
9,spotify:track:0DsPj89zlY3Us7xb5cXK5h,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",8,8,3,DJ Patrick Muniz
10,spotify:track:6T6SDJszPbuMCBpSm3aS3G,Carinha de Neném,10,10,3,Japãozin
11,spotify:track:5F2xRvRFkxDvqdFtUNAEyw,Se For Amor,8,11,3,João Gomes
12,spotify:track:0FqVtQxRD3HsPltldG5v5M,Aquelas Coisas,10,12,3,João Gomes
13,spotify:track:2s9BO8c0co0PmgBiUoTT17,A QUEDA,13,17,3,Gloria Groove
14,spotify:track:7aZusA4cWXz3Wv9e9uhavz,Quer Voar,11,13,3,Matuê
15,spotify:track:48Ll1C6qAnP2UjnopQDh4a,Bala Love,13,15,3,Mc Anjim
16,spotify:track:1bWBG6IkMnDr3qvCKSvQT7,Baby Me Atende - Ao Vivo,14,14,3,Matheus Fernandes
17,spotify:track:6bvY4L6D3gqBPGE1iSkbOW,Mete a Louca,17,19,3,MC Rogerinho
18,spotify:track:2ookQf9qP2qiBuNFnNXyfl,Chega E Senta - Ao Vivo,12,16,3,John Amplificado
19,spotify:track:3agFBAMPiIvzfTh7a9Udm6,Nota de Repúdio - Ao Vivo,16,18,3,Gusttavo Lima
20,spotify:track:7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,20,48,2,Marina Sena
21,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,21,75,2,Paulo Pires
22,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,18,20,3,Zé Neto & Cristiano
