rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,1,7,Felipe Amorim
2,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,2,2,6,Felipe Amorim
3,spotify:track:0t5cfOZxePTvuYXTywHzjH,Penhasco2,3,28,2,Luísa Sonza
4,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,4,78,2,Luísa Sonza
5,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),3,3,6,MC Kevin o Chris
6,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,5,5,25,Grupo Menos É Mais
7,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,4,15,DENNIS
8,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,7,36,NATTAN
9,spotify:track:2exu569k07hUulN9CoPnMH,Campo De Morango,9,12,3,Luísa Sonza
10,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,2,6,16,Kadu Martins
11,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,11,76,2,Luísa Sonza
12,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,8,8,8,Vulgo FK
13,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,3,9,19,Eric Land
14,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,10,16,Veigh
15,spotify:track:24LGL93o3wuVuYLCBhV3c5,Principalmente Me Sinto Arrasada,15,29,2,Luísa Sonza
16,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,3,11,10,Mc Livinho
17,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,7,13,22,Felipe Amorim
18,spotify:track:1dv8qeBPtLAli7J3xNeTDR,Surreal,18,77,2,Luísa Sonza
19,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,19,32,2,MC Rogerinho
20,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",13,14,12,Melody
21,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,16,16,9,Ana Castela
22,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,16,19,17,Felipe Amorim
23,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,17,30,Simone Mendes
24,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",7,15,11,Mc Pedrinho
25,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,2,18,23,Grandão Vaqueiro
26,spotify:track:6V6fcreiDPSsxTlVKveaiI,Carnificina,26,80,2,Luísa Sonza
27,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,5,23,29,AgroPlay
