rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,1,1,11,Felipe Amorim
2,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,2,2,10,Felipe Amorim
3,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,3,5,3,Dj GBR
4,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,3,3,29,Grupo Menos É Mais
5,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),3,4,10,MC Kevin o Chris
6,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,1,6,40,NATTAN
7,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,7,7,6,MC Rogerinho
8,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,2,11,20,Veigh
9,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,2,9,20,Kadu Martins
10,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,10,19,DENNIS
11,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,8,12,12,Vulgo FK
12,spotify:track:6xRDvureEBwHgwAYDufbJL,Chorei na Vaquejada,3,13,23,Eric Land
13,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,13,15,5,Luan Pereira
14,spotify:track:181TYnNi3wNGrdsCykmI4A,A Dona Aranha,11,14,6,Luísa Sonza
15,spotify:track:5btDKzAsFh975NSWxwBHRc,Coisas Que Eu Sei,7,17,26,Felipe Amorim
16,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,16,31,4,Gusttavo Lima
17,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,3,16,14,Mc Livinho
18,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,16,18,13,Ana Castela
19,spotify:track:43eRVwfXFkY3kXN4K47gNT,Chico,2,8,6,Luísa Sonza
20,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,20,29,2,MC Maneirinho
21,spotify:track:51pxwIxDVCbFHW8oyJFQXD,Erro Gostoso - Ao Vivo,2,24,34,Simone Mendes
22,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,22,35,2,Flora Matos
23,spotify:track:1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,2,21,27,Grandão Vaqueiro
24,spotify:track:3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),1,25,23,Matuê
25,spotify:track:3P2ubMyuL9NQOVU67TVCXA,"Love, Love",13,19,16,Melody
26,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,5,20,33,AgroPlay
27,spotify:track:6p6ohOKSzL4JaIRzSeOmWx,Cama Embrasa,16,23,21,Felipe Amorim
28,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,5,28,30,Israel & Rodolffo
29,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,32,43,Marília Mendonça
30,spotify:track:2exu569k07hUulN9CoPnMH,Campo De Morango,9,22,7,Luísa Sonza
31,spotify:track:39xOREhViooEYFpmnKTdrl,Engana Dizendo Que Ama,18,26,20,Veigh
32,spotify:track:4bxAq0zgWQKMaQJ7HLJJxk,Ombrim (ai que delicia o verão) (feat. Mts No Beat),32,33,3,Marina Sena
33,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,33,34,3,Zé Neto & Cristiano
34,spotify:track:0U9CZWq6umZsN432nh3WWT,"Gol Bolinha, Gol Quadrado 2",7,27,15,Mc Pedrinho
35,spotify:track:0ZVWliWjMmYFxQe9U63Y5W,5 Da Manhã - Ao Vivo,35,38,2,Raí Saia Rodada
36,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,36,46,18,Guilherme & Benuto
37,spotify:track:64aW2o0Dyg06rgX1jdRjQH,Teus Sinais,27,36,10,Felipe Amorim
38,spotify:track:2c80HnIOPMmQQVQllQEWb5,É Sal,38,54,11,Matuê
39,spotify:track:0btol0yAwaK1mJdyQfnKFn,Eu Nem Lembro,39,45,11,Henry Freitas
40,spotify:track:7nFvKgVumc9FcU97zGjjei,Coração de Gelo,2,51,44,WIU
41,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,41,—,1,Manu
42,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,2,53,62,Felipe Amorim
43,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,20,43,32,Guilherme & Benuto
44,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,37,47,12,Gusttavo Lima
45,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,39,55,13,Zé Neto & Cristiano
46,spotify:track:2LTlykcdu0gwb7zcKneo2a,Melhor Só,6,40,27,KayBlack
47,spotify:track:6hu4HvpNzrW2RIEEAZC3vD,Segredo,20,44,26,KayBlack
48,spotify:track:4zUFA8l78k4tCmoVuGtV8z,MEIO TERMO - Ao Vivo,30,48,16,Luan Santana
49,spotify:track:0oZrvoCYEbKGCsU7cQqNnw,Imprevisto,27,71,4,Yago Oproprio
50,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,42,42,8,Gusttavo Lima
51,spotify:track:0t5cfOZxePTvuYXTywHzjH,Penhasco2,3,30,6,Luísa Sonza
52,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,3,58,79,Matuê
53,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,14,56,35,Henrique & Juliano
54,spotify:track:1dv8qeBPtLAli7J3xNeTDR,Surreal,18,37,6,Luísa Sonza
55,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,9,61,34,Matheus & Kauan
56,spotify:track:7k8YBbVumvWI1ujyjWbvlo,Nunca Mais - Ao Vivo,30,60,28,NATTAN
57,spotify:track:4qDT0BeJ7BjatrN9k8AvB4,Flow Espacial,5,64,36,Teto
58,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",9,39,15,Dyamante DJ
59,spotify:track:2uGk60j3LR5bp6tGq9vtII,Halls na Língua - Remix,42,62,10,GORDÃO DO PC
60,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",49,52,6,Mc IG
61,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,1,74,9,Felipe Amorim
62,spotify:track:5m8x0A3hkYAhgNmN8eecj3,Tentação,46,59,10,Felipe Amorim
63,spotify:track:3xCkNUiap7EBjqnRldHSSh,Coladin (Minha Deusa),13,69,42,Zé Vaqueiro
64,spotify:track:4fgnNikmEUvXze89h3X47m,Morena,58,90,3,NATTAN
65,spotify:track:0KhLYwYVhi13hMhxX73m55,MULHER SEGURA - Ao Vivo,65,—,1,Luan Santana
66,spotify:track:64JdLJ0dFwI5lptGXHQxZs,Sarradinha,66,67,2,Mari Fernandez
67,spotify:track:5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,62,70,4,Arctic Monkeys
