rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,1,14,Hugo & Guilherme
2,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,2,3,3,Gusttavo Lima
3,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,2,2,19,Jorge & Mateus
4,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,5,11,Luan Santana
5,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,2,4,5,Davi Kneip
6,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,6,7,3,Felipe Amorim
7,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,7,8,12,Zé Neto & Cristiano
8,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,8,—,1,Luan Santana
9,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,9,17,4,Matheus Fernandes
10,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,9,21,Gusttavo Lima
11,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,6,10,PEDRO SAMPAIO
12,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,12,—,1,Hugo & Guilherme
13,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,11,27,Henrique & Juliano
14,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,10,12,Zé Felipe
15,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,16,26,George Henrique & Rodrigo
16,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,12,27,Henrique & Juliano
17,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,15,26,Henrique & Juliano
18,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,18,20,4,Hugo & Guilherme
19,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,14,14,3,Matuê
20,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,18,27,Marília Mendonça
21,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,19,22,5,Matheus & Kauan
22,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),22,79,2,L7NNON
23,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,Envolver,1,13,7,Anitta
24,spotify:track:0NBgyml7T0IvUNbXIkcSpH,Malvadão 3,2,19,18,Xamã
25,spotify:track:0qYW2jULeN9giEty0ee9Fy,Botadinha Saliente,8,21,10,MC Rogerinho
26,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,24,20,Wesley Safadão
27,spotify:track:4grGI2vFnknrfmHT1JOVFU,Tesão Da Madrugada - Ao Vivo,27,27,10,George Henrique & Rodrigo
28,spotify:track:7afaZ37wJJL6880z1NRgJS,Fim de Semana no Rio,23,23,3,Teto
29,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,29,40,10,Guilherme & Benuto
30,spotify:track:3xt7v3bMNnQ8ie8RjhmkX2,Imagina A Sentada - Ao Vivo,14,25,19,Matheus & Kauan
31,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was,28,30,3,Harry Styles
32,spotify:track:3YvE7uo4ffseBoJPh8IhHp,Presepada,4,29,24,Marília Mendonça
33,spotify:track:4dwBkgq4a4gEissxTY0YDT,Cê Tá Preparada - Ao Vivo,12,31,27,Tayrone
34,spotify:track:3QGxgNaqaFSpORp2OVLXHR,212,7,26,14,Chefin
35,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,Depende,9,32,13,Dj Guuga
36,spotify:track:4HpRywZJgzkXXYLKJ0mLiY,Minha Cópia Atual - Ao Vivo,35,35,3,Henrique & Juliano
37,spotify:track:2IJPcsIjReWb0v4EdNuwLu,Assume a Gente - Ao Vivo,37,42,4,João Bosco e Gabriel
38,spotify:track:72g37RoelSnovZakG5MwnF,Parada Louca,10,34,23,Mari Fernandez
39,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,17,33,27,Marília Mendonça
40,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,40,41,3,Paulo e Nathan
41,spotify:track:6ve9hbVnSgJ0vrsRpj18OH,Não Me Arranha - Ao Vivo,15,39,27,Gusttavo Lima
42,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,Toma Toma Vapo Vapo,5,38,23,Zé Felipe
43,spotify:track:4EVzu5mYyigjyLrryKbZs7,VERMELHO,19,36,10,Gloria Groove
44,spotify:track:1dzF8qI9VkDnO0dkMfR529,Oi Deus - Ao Vivo,24,28,25,Hugo & Guilherme
45,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",26,37,8,Vulgo FK
46,spotify:track:1TyxXIXVVpHwhKaF73z8nw,Rasteira - Ao Vivo,26,50,27,Henrique & Juliano
47,spotify:track:2VATVdFqb7QqxfAcQPvNpc,Ex Alcoolizado - Ao Vivo,47,49,3,Israel & Rodolffo
48,spotify:track:4NJKCE1TBC653P3dCnto0u,Simplesmente Ela,47,47,3,Mc Gabzin
49,spotify:track:4fSHADbZbhpZCT9oJpxwbP,Ameaça,2,44,26,Paulo Pires
50,spotify:track:6qdJZIjxrPaJjaGqlXFLSs,Nota de Repúdio - Ao Vivo,3,53,27,Gusttavo Lima
51,spotify:track:053zWWZDziDJd3U94x8RuP,Todo Mundo Menos Você,2,46,27,Marília Mendonça
52,spotify:track:3YOxWp8HTyp5FivmCU5p8z,Desgastou - Ao Vivo,38,54,5,Henrique & Juliano
53,spotify:track:0yL7K9MzC20uBesZTPY81r,Pandora,11,43,19,DJ Matt D
54,spotify:track:2gkKA2pRAsMzbiGPo9gxsc,Água Nos Zói - Ao Vivo,23,52,27,Clayton & Romário
55,spotify:track:6wrkP23fHC8KDHCfs8MpJ9,Chá De Casa Nova - Ao Vivo,41,56,19,Henrique & Juliano
56,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),21,45,12,MC Teteu
57,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,CAFÉ DA MANHÃ ;P,23,48,10,Luísa Sonza
58,spotify:track:0vlAXslkVt1HZ4Rx6JekLY,Terminei Mal Terminado - Ao Vivo,47,61,9,Henrique & Juliano
59,spotify:track:4GOs8fPjp4M9CBHanTMwsQ,Seu Perfil - Ao Vivo,43,60,12,Henrique & Juliano
60,spotify:track:3SWjpNMVUi5UXz096NbfPr,Gata (feat. Chencho Corleone),60,—,1,Anitta
61,spotify:track:7pvrsbBKUQI2QmA74WCJa5,Ela e Ela,4,59,27,Zé Neto & Cristiano
62,spotify:track:4AOOcHnZdU6qyUVtKZUEuF,Amava Nada - Ao Vivo,37,51,11,Lucas Lucco
63,spotify:track:5yRgMxdDhdYlbUQNCOlW3o,Não Vou Te Bloquear - Ao vivo,23,55,14,Mc Don Juan
64,spotify:track:3gK5ckT0cq3t5enyqzzRgV,GALOPA,5,57,27,PEDRO SAMPAIO
65,spotify:track:4OjLi2Ji9UhVsHjqzRGCsM,Quebrando Protocolo - Ao Vivo,34,63,25,Gusttavo Lima
66,spotify:track:36mUWhjTM3GNpncYy7RR6z,Boca Ocupada,66,72,9,Cleber & Cauan
67,spotify:track:2ixi9HWJw5lnLDmRMsiCS5,Você Beberia Ou Não Beberia?,9,66,27,Zé Neto & Cristiano
68,spotify:track:7HjZD0NPC1hzFpjUjo45GR,Me Sinto Abençoado,51,65,16,Mc Poze do Rodo
69,spotify:track:79Wou8NwYEFzTyDQudjENF,Desbloqueado - Ao Vivo,13,70,27,Diego & Victor Hugo
70,spotify:track:4can6ssapSsRCEbZZfYL8K,Poesia Acústica 12 - Pra Sempre,47,64,8,Pineapple StormTv
71,spotify:track:67fTDdGkHk1G5IZokS4uML,Esse Barulho,53,75,13,Murilo Huff
