rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,2,5,Gusttavo Lima
2,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,1,16,Hugo & Guilherme
3,spotify:track:0sjhY8nPIm6cPOQfyUPmJe,ERRO PLANEJADO - Ao Vivo,3,3,3,Luan Santana
4,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,4,4,5,Felipe Amorim
5,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,2,6,21,Jorge & Mateus
6,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,5,5,6,Matheus Fernandes
7,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,7,7,3,Hugo & Guilherme
8,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,2,8,7,Davi Kneip
9,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,7,10,14,Zé Neto & Cristiano
10,spotify:track:53RxHysDJ0cjugMcPymwja,ABALO EMOCIONAL - Ao Vivo,4,9,13,Luan Santana
11,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,14,28,George Henrique & Rodrigo
12,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,19,28,Henrique & Juliano
13,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,17,23,Gusttavo Lima
14,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,2,11,12,PEDRO SAMPAIO
15,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,12,29,Henrique & Juliano
16,spotify:track:4SIBZgMomGFnrIWjmq7Np8,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),16,16,4,L7NNON
17,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,15,29,Henrique & Juliano
18,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Malvada,3,13,14,Zé Felipe
19,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,14,18,5,Matuê
20,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,19,22,7,Matheus & Kauan
