rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,1,9,Guilherme & Benuto
2,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,2,2,7,Mc Jacaré
3,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,1,3,5,Marília Mendonça
4,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,4,7,Gusttavo Lima
5,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,2,5,16,Jorge & Mateus
6,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,6,7,2,Luan Santana
7,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,6,32,Hugo & Guilherme
8,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,8,8,3,Hugo & Guilherme
9,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,6,9,10,Ana Castela
10,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,10,10,23,Matheus & Kauan
11,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,11,12,21,Paulo e Nathan
12,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,3,11,19,Hugo & Guilherme
13,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,13,21,Gusttavo Lima
14,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,1,15,19,Luan Santana
15,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,10,14,10,L7NNON
16,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,16,19,3,DJ AK BR
17,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,16,16,13,Israel & Rodolffo
18,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,18,21,5,Mc Paiva ZS
19,spotify:track:2qmG7dokbGpDGD0T5wORWt,Balanço da Rede,3,18,22,Matheus Fernandes
20,spotify:track:0MKd4uZd8Ag8qyReZBTarP,Pino da Granada - Ao Vivo em Rio Preto,18,20,13,Murilo Huff
21,spotify:track:3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,21,23,4,Jorge & Mateus
22,spotify:track:5PZAbR6JHYYV9xp5gv0XES,Bandido,1,17,10,Zé Felipe
23,spotify:track:25rz3D4oroFC0GXm3xFXnG,Tem Cabaré Essa Noite,12,24,6,Nivaldo Marques
24,spotify:track:7bhvRvE56NHBvedx0EeALS,Comunicação Falhou - Ao Vivo,17,22,16,Mari Fernandez
25,spotify:track:3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,2,29,37,Jorge & Mateus
26,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,25,25,3,Murilo Huff
27,spotify:track:11fqunD6qlOCrRd88kMOk6,Evento Cancelado - Ao Vivo,7,27,14,Henrique & Juliano
28,spotify:track:0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,11,26,9,MC Tairon
29,spotify:track:5TPXcKSOlPaz2pkYbWiWHU,Ai Eu Chorei - Ao Vivo,29,39,7,Clayton & Romário
30,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,Vai Lá Em Casa Hoje,1,32,44,George Henrique & Rodrigo
31,spotify:track:0jAAnWNbcHf6X1EXOtvOT7,Incendeia,31,33,6,MC Kevin o Chris
32,spotify:track:4NFkcqZ3jU2O9rgEbuluVn,Bafora o Lança - Remix,32,58,2,Mario Mc
33,spotify:track:7KWKWJnbGJ3Soag6Oopion,CACHORRINHAS,15,28,6,Luísa Sonza
34,spotify:track:5A35xC90Nk6tXmcOAOOavi,ABALO EMOCIONAL - Ao Vivo,4,36,29,Luan Santana
35,spotify:track:14JKzKrJbPDflw8XyATMey,A Maior Saudade - Ao Vivo,5,31,45,Henrique & Juliano
36,spotify:track:4QWumyD2uwiePBBha9XBHI,No Ouvidinho,4,34,21,Felipe Amorim
37,spotify:track:0tM4J8aID6qYZOE3e14sCj,Acordo - Ao Vivo,12,38,44,Henrique & Juliano
38,spotify:track:3ShKPhFkexrwl7WoyTtNND,Tchuco Nela,10,30,18,MC Rogerinho
39,spotify:track:6Ulh9GPYz6JKdv04qc3q2U,Dengo,10,35,15,João Gomes
40,spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN,Melhor Ser uma Saudade,7,40,30,Zé Neto & Cristiano
41,spotify:track:2HMbGPbGiqGaHXzFkQAmZI,Basiquinho - Ao Vivo,37,37,3,Matheus & Kauan
42,spotify:track:2ebFBmle5uXcdbrCAOvPcZ,Vagabundo Chora - Ao Vivo,15,44,28,Guilherme & Benuto
43,spotify:track:5lCAtKxkZL6tFDyGX9t87j,Eu Já Tava Bem - Ao Vivo,18,43,38,Wesley Safadão
44,spotify:track:0roEMqT0P7Z82rJTwcID3Z,Felicidade Dela - Ao Vivo,18,47,22,Hugo & Guilherme
45,spotify:track:48LEhRW4gLMCVSYFEZvt8b,Assume a Gente - Ao Vivo,22,49,22,João Bosco e Gabriel
46,spotify:track:7qD2vjd3btuOgwpQPEY7ci,EU VOU COM CARINHO ELA QUER COM FORÇA,14,42,14,Mc Don Juan
47,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Arranhão - Ao Vivo,1,45,45,Henrique & Juliano
48,spotify:track:1t5dhHyXMwdbAcI3EQRqFV,Meio Fio - Ao Vivo,41,41,3,Diego & Victor Hugo
49,spotify:track:3sd2p4kE7xQmFH3lPnFl6h,sentaDONA (Remix) s2,2,46,23,Davi Kneip
50,spotify:track:4a0sqvCBo7aRIS4GzBQpnp,Kikando e Me Olhando,27,48,19,MC Braz
51,spotify:track:2LEV3lTRxKqLBfmt5BWkLj,Não Pega Ninguém Ainda (Ao Vivo),9,50,12,Gusttavo Lima
52,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,2,53,39,Gusttavo Lima
53,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,27,54,21,Harry Styles
54,spotify:track:0XyPPyGes0omXppV5YE8gy,Gostosinha é Ela,52,52,2,Felipe Amorim
55,spotify:track:30rrBGpna63eIJ2BrXlWDC,Minha Cópia Atual - Ao Vivo,31,61,21,Henrique & Juliano
56,spotify:track:7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,26,51,17,Leo Santana
57,spotify:track:3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,57,—,1,Guilherme & Benuto
58,spotify:track:4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,1,56,45,Marília Mendonça
59,spotify:track:6bTdZ7xfKp3NqqADJ8HLyj,Vampiro,14,55,21,Matuê
60,spotify:track:04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,60,60,3,Mc Paiva ZS
61,spotify:track:28m65cMH7QXHzFnZSTtNHY,Não Sei o Que Lá,17,67,45,Marília Mendonça
62,spotify:track:7fzgTaVhUxmEzjtcd9NdWo,Cê Tá Preparada - Ao Vivo,12,65,45,Tayrone
63,spotify:track:130HVxaVe9EYcLJmuOR9Rw,Até A Próxima Vida - Ao Vivo,45,57,13,Henrique & Juliano
64,spotify:track:5etfNcFAD9M8uibXpYMxfQ,Tu Tava Na Revoada - Ao Vivo,34,59,13,Wesley Safadão
65,spotify:track:20yfr4F5QmZ5V3Cu1Rx4Kp,Elevador - Ao Vivo,62,69,4,Lauana Prado
