rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,1,1,10,Guilherme & Benuto
2,spotify:track:4vWh6tEfcLzdvYWp2IlOJS,CORAÇÃO CIGANO - Ao Vivo,2,6,3,Luan Santana
3,spotify:track:2ykYxd8UGHOsdjP3Z5jSHh,Cheiro de Balada - Ao Vivo,3,8,4,Hugo & Guilherme
4,spotify:track:4xxeEWGQNFQ6qehlnev5LS,Te Amo Demais,1,3,6,Marília Mendonça
5,spotify:track:5PSkF3QpVMlAx8U5Inxj39,Vento Forte,2,2,8,Mc Jacaré
6,spotify:track:6gEOM9IEBzvTdbwNrSkBdC,Fala Mal de Mim - Ao Vivo,1,4,8,Gusttavo Lima
7,spotify:track:6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,1,7,33,Hugo & Guilherme
8,spotify:track:4NNZZXHgn9F3cCgC1YGmLl,Todo Seu - Ao Vivo,2,5,17,Jorge & Mateus
9,spotify:track:3jPp5Aukksz9Ir0gZy6lZM,Acabei de Terminar - Ao Vivo,9,11,22,Paulo e Nathan
10,spotify:track:7AwVSKaQxpidrtYBerkHKk,Pipoco,6,9,11,Ana Castela
11,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,Casei Com a Putaria,11,18,6,Mc Paiva ZS
12,spotify:track:42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,10,10,24,Matheus & Kauan
13,spotify:track:3XF598RmEUF3XW4XKo1lyP,Meu Número - Ao Vivo,3,12,20,Hugo & Guilherme
14,spotify:track:1K8AtBJXcdq5mywMnZuARP,Termina Comigo Antes,1,13,22,Gusttavo Lima
15,spotify:track:2TdOWHAolNaQx8gyRDVS1N,ERRO PLANEJADO - Ao Vivo,1,14,20,Luan Santana
16,spotify:track:4cxQWmXmmbFoWvV8qipQTe,Perfeito Pra Ficar Sozinho - Ao Vivo,16,26,4,Murilo Huff
17,spotify:track:4x5q5T5mhE1xvoCVXY6qrN,Melodia Alucinógena,16,16,4,DJ AK BR
18,spotify:track:6bwx7pcKJY05D9S6CVa1k6,Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus,16,17,14,Israel & Rodolffo
19,spotify:track:5vC8UAOHeG95ehRzZChniB,Ai Preto,10,15,11,L7NNON
