rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:6AENBD8I0mDGglFqrRZGu7,Canudinho - Ao Vivo,1,1,14,Gusttavo Lima
2,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,2,2,23,Zé Neto & Cristiano
3,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,2,3,10,Manu
4,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,3,4,30,Guilherme & Benuto
5,spotify:track:6zLBR9izBeZ1d0pfuwJgRa,Tipo Hollywood,5,15,4,Mc Ws da leste
6,spotify:track:4zW6JV4aqhXpbfZLZyEFvP,Quase Algo - Ao Vivo Em Nova Iorque / 2022,5,6,12,Henrique & Juliano
7,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,4,5,12,Dj GBR
8,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,3,7,8,Tropa do Bruxo
9,spotify:track:7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,1,10,21,Gusttavo Lima
10,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,4,8,11,Simone Mendes
11,spotify:track:6PXyRQ9Q0eNlLGsI6GxiYX,Torce o Olho - Ao Vivo,9,9,3,Gusttavo Lima
12,spotify:track:3S8M3mZGIc10IdtmNTsrjQ,Eu Não Previ - Ao Vivo em Goiânia,12,12,14,Traia Véia
13,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,11,13,19,Henrique & Juliano
14,spotify:track:7dKqPh21HpsysZvRWyNeM1,Bênçãos Que Não Têm Fim (Counting My Blessings),14,24,3,Isadora Pompeo
15,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,16,52,Marília Mendonça
16,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,17,24,Zé Neto & Cristiano
17,spotify:track:7GjAXYuxjuXPbQJzRnNdob,Pane no Sistema,11,11,7,GREGO
18,spotify:track:0wuj2T6IZtotux1Jjluo7m,Cama Repetida,18,50,2,Leo Santana
19,spotify:track:0GTUqRzwAacEI5Pll8YlBA,Amor Não Dá Em Copo - Ao Vivo,11,18,6,Israel & Rodolffo
20,spotify:track:6rpUGV7bcWW9ro65Bf8uYY,Eu Não Dou Conta - Ao Vivo,18,21,11,Israel & Rodolffo
21,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),17,19,15,Ana Castela
22,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,Nosso Quadro,1,27,44,AgroPlay
23,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,4,20,14,Luan Pereira
24,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,2,29,45,Simone Mendes
25,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,14,22,Ana Castela
26,spotify:track:23IebZSNZ8VzwUr4rJNGRG,MEIO TERMO - Ao Vivo,2,22,26,Luan Santana
27,spotify:track:1xjy8WRyYUkayJcyyWQpYe,Fronteira - Ao Vivo,27,39,3,Ana Castela
28,spotify:track:0redQHBfejmPUhonR5ppGC,Duas Três,7,30,43,Guilherme & Benuto
29,spotify:track:6tGlPVCrjerAAbKJs85m5g,Seu Erro - Ao Vivo Em Nova Iorque / 2022,21,23,7,Henrique & Juliano
30,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,8,26,38,Grupo Menos É Mais
31,spotify:track:6Td7nVeAOUz13zhDlUY8jv,CHEIRO NA CAMISETA,31,38,3,Luan Pereira
32,spotify:track:7vCtJ5u7dFM4tAWtgFf4l8,Anestesiado - Ao Vivo,32,42,3,Murilo Huff
33,spotify:track:2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,4,33,26,Hugo & Guilherme
34,spotify:track:7EHlDvAa7gncwcAlfclZiX,Última Noite - Ao Vivo,34,37,2,Felipe Araújo
35,spotify:track:54u86CmMqGI1rRuULlTqaB,Toca o Trompete,3,28,19,Felipe Amorim
36,spotify:track:4ssTFuVeNJG8py5dr2P2pV,Não Recomendo - Ao Vivo,36,—,1,Matheus & Kauan
37,spotify:track:3PH1nUysW7ybo3Yu8sqlPN,Seu Brilho Sumiu - Ao Vivo,1,44,40,Israel & Rodolffo
38,spotify:track:64CovjRwInpOJW4PiGMprY,Faz um Vuk Vuk (Teto Espelhado),1,31,19,MC Kevin o Chris
39,spotify:track:4xAGuRRKOgoaZbMGdmTD3N,Oi Balde - Ao Vivo,2,47,42,Zé Neto & Cristiano
40,spotify:track:4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,13,45,38,Zé Neto & Cristiano
41,spotify:track:2DyuHPs5w0HXuzzusnoMYa,Deixa Eu Amar Você,29,36,5,Fernando & Sorocaba
42,spotify:track:4zNy0cxc4p36OLdPr0sI6h,MONTAGEM ANOS 2000,14,32,12,MC Maneirinho
43,spotify:track:4D25RP3yiJWfW9utK9dMyv,Ali Te Ama - Ao Vivo,43,64,5,Rayane & Rafaela
44,spotify:track:6S44vghJxOzBM2dwG10KBR,MULHER SEGURA - Ao Vivo,9,25,12,Luan Santana
45,spotify:track:7r8yMaSOy4XmuhRz7iv1gi,Traumatizei - Ao Vivo Em Brasília,3,62,44,Henrique & Juliano
46,spotify:track:0EhGgIoOPjsqfB2ktrGgJd,Oceano - Ao Vivo,41,41,5,Felipe e Rodrigo
47,spotify:track:4KGyltc1ugN2WFcjkSPHwh,Não Vitalício (Nunca Mais) - Ao Vivo,3,53,44,Matheus & Kauan
48,spotify:track:5v1Fjk1RDKGqxwNOzGDewL,Então Vai,48,—,1,Zé Felipe
49,spotify:track:735MbOmMNSTMmPVrY51LBh,Aqui Tem Alguém - Ao Vivo,49,61,6,Ana Castela
50,spotify:track:62W2f0QOg20ufNjJQHqnkq,Fernando de Noronha,39,46,12,Mc IG
51,spotify:track:5DcysyjaPrLzXgDauvzvn6,Beijo Equivocado,36,49,12,George Henrique & Rodrigo
52,spotify:track:4hKLzFvNwHF6dPosGT30ed,Novo Balanço,23,59,29,Veigh
53,spotify:track:2yIJ2CVZkTDftAsL9NPTw2,Milionário - Ao Vivo,35,35,2,Guilherme & Benuto
54,spotify:track:6drlqBh6BeYZinmYQ9qR2n,Furduncinho do Rogerinho,25,40,14,MC Rogerinho
55,spotify:track:1Z3QqD45wKKN6fUKBXSvcZ,Pirulito Vermelho,11,43,25,Diego & Victor Hugo
56,spotify:track:4lL0M9HzNFspnIwj2WfU6c,Oi Vida - Ao Vivo,8,34,19,Gusttavo Lima
57,spotify:track:7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,6,70,36,Hugo & Guilherme
58,spotify:track:64I2WXRrFWWxjRh8uTYYQB,Abre A Mente - Ao Vivo Em Brasília,33,57,26,Henrique & Juliano
59,spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,1,52,30,DENNIS
60,spotify:track:4dHMuSjpkUcWW3zZehOFj7,Narcisista - Ao Vivo,7,58,21,Maiara & Maraisa
61,spotify:track:5eID9KNVJV2fDSPQGzQHQg,Oficializar - Ao Vivo,12,56,15,Gusttavo Lima
62,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,MOLETOM,6,69,23,Luan Pereira
63,spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc,Ballena,19,71,21,Vulgo FK
64,spotify:track:7lTVXJfNK4xaJSUXCUac6a,Fode Bem,12,48,18,Felipe Amorim
65,spotify:track:0Q1oLvAI9QaD3DIlvluTqx,Voltou Com Quem Não Voltava - Ao Vivo,8,51,29,Israel & Rodolffo
66,spotify:track:3AR7fw4dsEvPcxL3F4K1Q7,Estado Civil - Ao Vivo,38,63,4,Bruno & Denner
67,spotify:track:1MeaXiIiI0MCIirQhkxQR6,Meu Hobby - Ao Vivo,60,60,2,Michel Teló
68,spotify:track:2pRjaIcGc9LOmu7x9XMswA,Calafrio (feat. Henrique & Juliano) - Ao Vivo | Bônus Track,46,65,7,Diego & Victor Hugo
69,spotify:track:2uhw2oYbugGJbn10wipNX5,Novidade na Área,1,67,24,Mc Livinho
70,spotify:track:7bz3kEKKtEONtzxB6jrnb5,Banco do Carona,49,76,5,Mc Don Juan
71,spotify:track:0gEf5Kpw25FMEZw3plMiY6,Ela nem sabe quem sou eu - Ao Vivo,51,68,3,Bruno & Marrone
72,spotify:track:4TVPiACLzxgDjmkwaabMxs,Você Vai Ser Fiel - Ao Vivo Em Nova Iorque / 2022,72,—,1,Henrique & Juliano
73,spotify:track:0oQCRjrWGvkqkdf82UlXI3,POCPOC,73,—,1,PEDRO SAMPAIO
74,spotify:track:2cZ62VBKsdZ7u1kKKJdFOc,Sou Musa do Verão,43,55,5,Marshmello
75,spotify:track:4vdFF0P7oTZoeKvnfIsbh3,Te Esqueci Sem Querer - Ao Vivo Em Brasília,26,80,33,Henrique & Juliano
76,spotify:track:07DskqQ1NbTiotX1WIV7ob,Piloto,19,54,10,Flora Matos
77,spotify:track:2PVYuRC4zqT4w5k4gsEDVG,Adeus,52,84,4,Mari Fernandez
78,spotify:track:3AlJeYu0F3gbttq276kBcM,Tropa dos Covardes,34,72,12,Vinicius Cavalcante
79,spotify:track:2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,22,75,45,NATTAN
80,spotify:track:5ZkwwBa9DlwuUFbXwrLeXF,Poeirão - Ao Vivo,71,77,4,Guilherme & Benuto
81,spotify:track:09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,14,88,2,Hugo & Guilherme
82,spotify:track:5onvfSvnLGgirig4AT79lj,Cêis Não Bebe Não? - Ao Vivo,49,73,4,Diego & Victor Hugo
83,spotify:track:0wSFsliBwxevwTEXXag2ro,A Semana Inteira,62,82,4,Mc Don Juan
84,spotify:track:4pWsXhLUdtBKlw9npIXZAl,Halls na Língua,13,74,25,Kadu Martins
85,spotify:track:2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,4,91,2,Matheus & Kauan
86,spotify:track:4wjDiZGsZYQqKkXyPcQGF6,Agudo Mágico 4,62,79,6,MC K.K
87,spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe",25,66,5,Mc IG
88,spotify:track:1nDgPqq5gsQince3gJJ6dQ,Olha o Trem,45,83,21,JIRAYAUAI
89,spotify:track:1PXQJeClOb4AgBJp9jKLZw,Se É Pra Mentir - Ao Vivo Em Nova Iorque / 2022,62,86,2,Henrique & Juliano
90,spotify:track:2twZl1jsRbJRTNCE6VB6eW,10 Carros,90,—,1,Chefin
91,spotify:track:1O7IPsWoVYawmaYOwpLUkC,Todo Mundo Me Ama - Ao Vivo,91,—,1,Gusttavo Lima
92,spotify:track:6a35UETcJteB4oVCSFoAqr,Perfeita,61,81,5,MC Ryan SP
93,spotify:track:6L2ule7uWSdh1qjcMO3vUD,Quem tá Pegando,10,89,29,Murilo Huff
94,spotify:track:7ar5g2PcitBqMif5qyXHIc,Carinho E Respeito,93,93,2,Luiza Martins
95,spotify:track:2gF0DUT64JEFjqb0PJXj1M,Voltei Pra Cachorrada,95,—,1,Zé Felipe
96,spotify:track:3eTTlwVfTqMEbFfDfdiqcJ,Tchau Obrigado 2,96,—,1,MC Ryan SP
97,spotify:track:4N4Jk8n24I4lkSUdzoS0n7,Alô Tranqueira - Ao Vivo,40,92,2,Zé Neto & Cristiano
98,spotify:track:4qx6N7gtoRnqFHQKOS5AKH,Rancorosa - Ao Vivo Em Brasília,18,—,1,Henrique & Juliano
99,spotify:track:4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,1,—,1,Gustavo Mioto
100,spotify:track:5asabafNzfAzjUecDvuNES,Aquela Pessoa - Ao Vivo,71,—,1,Henrique & Juliano
