rank,uri,track_name,peak,prev,streak,artist_names
1,spotify:track:2sYFUcurlISdHlAsnYCEgD,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,1,1,4,Lauana Prado
2,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,DEJA VU,2,2,4,Luan Santana
3,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Barulho Do Foguete - Ao Vivo,2,3,27,Zé Neto & Cristiano
4,spotify:track:35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,2,5,14,Manu
5,spotify:track:7g7I8fjEERZH8DH3e6MUw7,Canudinho - Ao Vivo,1,4,18,Gusttavo Lima
6,spotify:track:4YKujFSyakVjLdH1sDllVc,Dois Fugitivos - Ao Vivo,4,8,15,Simone Mendes
7,spotify:track:7DkhndGTKaqkFxxKN7XlAh,Manda um Oi - Ao Vivo,3,7,34,Guilherme & Benuto
8,spotify:track:1xjy8WRyYUkayJcyyWQpYe,Fronteira - Ao Vivo,8,10,7,Ana Castela
9,spotify:track:2InS5VWKJQbsFBKOsf1cJB,Let's Go 4,4,11,16,Dj GBR
10,spotify:track:3S8M3mZGIc10IdtmNTsrjQ,Eu Não Previ - Ao Vivo em Goiânia,6,6,18,Traia Véia
11,spotify:track:7vCtJ5u7dFM4tAWtgFf4l8,Anestesiado - Ao Vivo,9,9,7,Murilo Huff
12,spotify:track:00rxTS5TKv3oXpDA6nWfBi,Maria Mariah,12,55,2,JC NO BEAT
13,spotify:track:0QcKkN8b4iVkmVsbaze8OS,Devia Ser Proibido - Ao Vivo Em Brasília,9,12,23,Henrique & Juliano
14,spotify:track:3iam4WkRoqMoBBCwDFZNgd,Quase Algo - Ao Vivo Em Nova Iorque / 2022,5,14,16,Henrique & Juliano
15,spotify:track:6vq7r1Pqd3pyI07u63cPZV,Erro Gostoso - Ao Vivo,2,15,49,Simone Mendes
16,spotify:track:6C4nUySvjSQWoZamSKJBqH,Mala dos Porta-Mala - Ao Vivo,1,13,25,Gusttavo Lima
17,spotify:track:3PqU6gHWUaBTtIZi5oxEJ7,Um Mês E Pouco - Ao Vivo,3,16,28,Zé Neto & Cristiano
18,spotify:track:7G2yGMHlcPPTCDhMrAaMyZ,Tô Voltando - (Boiadeira Internacional),16,20,19,Ana Castela
19,spotify:track:00ZKeP47bZtswtANkvxz2j,Baile do Bruxo,3,21,12,Tropa do Bruxo
20,spotify:track:4ssTFuVeNJG8py5dr2P2pV,Não Recomendo - Ao Vivo,15,19,5,Matheus & Kauan
21,spotify:track:53PpijFATt35Zxfl6LTxoK,Leão,1,17,56,Marília Mendonça
22,spotify:track:6zFpImDYig0CQhLL2NIfyN,Nosso Quadro,1,26,48,AgroPlay
23,spotify:track:3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,4,32,18,Luan Pereira
24,spotify:track:5v1Fjk1RDKGqxwNOzGDewL,Então Vai,24,31,5,Zé Felipe
25,spotify:track:0oQCRjrWGvkqkdf82UlXI3,POCPOC,25,29,5,PEDRO SAMPAIO
26,spotify:track:3dA58LbGkY9CIEPyT7yAEZ,Torce o Olho - Ao Vivo,9,18,7,Gusttavo Lima
27,spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,8,33,42,Grupo Menos É Mais
28,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Solteiro Forçado - Boiadeira Internacional,1,27,26,Ana Castela
29,spotify:track:23IebZSNZ8VzwUr4rJNGRG,MEIO TERMO - Ao Vivo,2,24,30,Luan Santana
